source,target,stratum,aligned_n,aligned_rho,opposed_n,opposed_rho,aligned_minus_opposed
Dongsi,Guanyuan,split:val,1524,0.4573821285407855,1196,0.2869605890945394,0.1704215394462461
Dongsi,Guanyuan,split:test,1748,0.3749322027924489,941,0.3055867207749731,0.06934548201747576
Dongsi,Guanyuan,season:winter,2679,0.4289966573174618,2058,0.3485772782608735,0.0804193790565883
Dongsi,Guanyuan,season:spring,2404,0.38456882387356833,2279,0.29084841326735117,0.09372041060621716
Dongsi,Guanyuan,season:summer,2958,0.4091406344058131,1418,0.237314382226893,0.1718262521789201
Dongsi,Guanyuan,season:autumn,2595,0.4039247614977714,1537,0.2947277155689236,0.10919704592884782
Dongsi,Guanyuan,speed:moderate,9867,0.404962054540575,4259,0.3100940181105206,0.09486803643005437
Dongsi,Guanyuan,speed:strong,769,0.4243985610428004,3033,0.2547493159362969,0.16964924510650348
Tiantan,Guanyuan,split:train,5650,0.3827627105454002,4467,0.20798006257328097,0.1747826479721192
Tiantan,Guanyuan,split:val,1160,0.4221471800420843,1215,0.18898760327002326,0.23315957677206103
Tiantan,Guanyuan,split:test,931,0.45231576472920665,882,0.14629452406933605,0.3060212406598706
Tiantan,Guanyuan,season:winter,1262,0.38912020765026784,2290,0.21677513228160117,0.17234507536866667
Tiantan,Guanyuan,season:spring,2172,0.35252246358256484,1722,0.21284449403609162,0.1396779695464732
Tiantan,Guanyuan,season:summer,2581,0.4175386470637516,1046,0.17024872088170756,0.24728992618204404
Tiantan,Guanyuan,season:autumn,1726,0.43246438300083095,1506,0.16119782027421364,0.2712665627266173
Tiantan,Guanyuan,speed:moderate,7189,0.38970977413138974,3555,0.209284438501991,0.18042533562939875
Tiantan,Guanyuan,speed:strong,552,0.4688761989816167,3009,0.17284096094943147,0.29603523803218523
Aotizhongxin,Guanyuan,split:train,7563,0.39156944352140843,5571,0.2484236983145036,0.14314574520690485
Aotizhongxin,Guanyuan,split:val,1541,0.3992832915737316,1139,0.24449135975746208,0.15479193181626952
Aotizhongxin,Guanyuan,split:test,1763,0.361862871404916,835,0.23168360536447194,0.13017926604044408
Aotizhongxin,Guanyuan,season:winter,3248,0.4161573110871984,1264,0.20082547688184949,0.2153318342053489
Aotizhongxin,Guanyuan,season:spring,2335,0.35053690079071925,2659,0.24444482615801014,0.10609207463270912
Aotizhongxin,Guanyuan,season:summer,2528,0.37969230772219137,2215,0.23348434497799825,0.14620796274419312
Aotizhongxin,Guanyuan,season:autumn,2756,0.38939068234873525,1407,0.2597806262496659,0.12961005609906934
Aotizhongxin,Guanyuan,speed:moderate,9616,0.3984810861544571,6078,0.250351972909065,0.14812911324539207
Aotizhongxin,Guanyuan,speed:strong,1251,0.23781793456444883,1467,0.21828951806310876,0.019528416501340073
Wanliu,Gucheng,split:train,7737,0.2624348763579313,5770,0.2626399703303135,-0.00020509397238221982
Wanliu,Gucheng,split:val,1912,0.2834648267687477,1285,0.293419027419395,-0.009954200650647338
Wanliu,Gucheng,split:test,1648,0.3004238388871917,953,0.3023645872634679,-0.001940748376276169
Wanliu,Gucheng,season:winter,3725,0.2406069083200992,1433,0.2795796716205583,-0.038972763300459096
Wanliu,Gucheng,season:spring,2723,0.2725004093388455,2744,0.2746206536884016,-0.0021202443495560996
Wanliu,Gucheng,season:summer,2269,0.2929880637996574,2391,0.1991166764166101,0.09387138738304732
Wanliu,Gucheng,season:autumn,2580,0.29173828091741,1440,0.29550456250286866,-0.003766281585458664
Wanliu,Gucheng,speed:moderate,9705,0.2792575103770285,6929,0.2821644494219647,-0.0029069390449362187
Wanliu,Gucheng,speed:strong,1592,0.1701059454119313,1079,0.21409852493760906,-0.043992579525677755
Guanyuan,Gucheng,split:train,6175,0.2564303855983826,4981,0.2715599519036155,-0.015129566305232878
Guanyuan,Gucheng,split:val,1556,0.3076036304952626,1238,0.267143885134785,0.04045974536047764
Guanyuan,Gucheng,split:test,1780,0.2691692474822011,944,0.2468053508054923,0.022363896676708822
Guanyuan,Gucheng,season:winter,2651,0.25837001435386486,1848,0.29003023276188533,-0.03166021840802047
Guanyuan,Gucheng,season:spring,1975,0.27502273876681493,2185,0.2791145228477104,-0.004091784080895444
Guanyuan,Gucheng,season:summer,2476,0.25849212343472944,1766,0.2282216185286754,0.03027050490605404
Guanyuan,Gucheng,season:autumn,2409,0.2854158854004632,1364,0.2564723344398926,0.028943550960570608
Guanyuan,Gucheng,speed:moderate,8942,0.2618251277963847,4889,0.26054503174516924,0.0012800960512154846
Guanyuan,Gucheng,speed:strong,569,0.33450810280360427,2274,0.27065135669227125,0.06385674611133302
Wanshouxigong,Gucheng,split:train,4224,0.2882334190430042,5782,0.199547194440391,0.08868622460261319
Wanshouxigong,Gucheng,split:val,1354,0.2707482962703492,1199,0.16727129430256327,0.10347700196778592
Wanshouxigong,Gucheng,split:test,1197,0.28770542139010796,824,0.14927213371245898,0.13843328767764898
Wanshouxigong,Gucheng,season:winter,1320,0.25302127426551435,2579,0.17091831636045993,0.08210295790505442
Wanshouxigong,Gucheng,season:spring,1707,0.33575781269274196,2251,0.2212686919107372,0.11448912078200477
Wanshouxigong,Gucheng,season:summer,2220,0.23255679656960246,1360,0.15139378421607905,0.08116301235352341
Wanshouxigong,Gucheng,season:autumn,1528,0.33865325208898844,1615,0.200807594133464,0.13784565795552445
Wanshouxigong,Gucheng,speed:moderate,6300,0.2739127344901319,5133,0.18403765416704707,0.08987508032308486
Wanshouxigong,Gucheng,speed:strong,475,0.4044934365883635,2672,0.18479353881514204,0.21969989777322146
Tiantan,Gucheng,split:train,8070,0.23290705363186817,5948,0.22676968600665576,0.006137367625212414
Tiantan,Gucheng,split:val,1725,0.2124724006021936,1525,0.22726399651517662,-0.014791595912983013
Tiantan,Gucheng,split:test,1901,0.20648665068872857,1154,0.1681707374895878,0.038315913199140766
Tiantan,Gucheng,season:winter,2761,0.17257047846597587,2485,0.21409241433346962,-0.04152193586749375
Tiantan,Gucheng,season:spring,2697,0.26314770828270356,2650,0.2463476950416146,0.016800013241088957
Tiantan,Gucheng,season:summer,3452,0.22503249309812087,1661,0.22718117424435338,-0.0021486811462325117
Tiantan,Gucheng,season:autumn,2786,0.25218309038205516,1831,0.1681455698690536,0.08403752051300156
Tiantan,Gucheng,speed:moderate,10878,0.21160322544074095,5007,0.20430298974912553,0.00730023569161542
Tiantan,Gucheng,speed:strong,818,0.39123305572268363,3620,0.23329644381164155,0.15793661191104208
Shunyi,Huairou,split:train,6021,0.34443540278263457,7585,0.1138429959825056,0.230592406800129
Shunyi,Huairou,split:val,1336,0.3685120187581103,1662,0.1769556913323623,0.191556327425748
Shunyi,Huairou,split:test,1013,0.358173345644244,2222,0.12956932380159186,0.22860402184265216
Shunyi,Huairou,season:winter,1065,0.31914019715589326,3780,0.15181227829760396,0.1673279188582893
Shunyi,Huairou,season:spring,2950,0.3461769277418043,2262,0.1379783367436961,0.2081985909981082
Shunyi,Huairou,season:summer,2769,0.34612275963616507,2449,0.047777209638202374,0.2983455499979627
Shunyi,Huairou,season:autumn,1586,0.3663320231226058,2978,0.13956711337567682,0.226764909746929
Shunyi,Huairou,speed:moderate,7034,0.3211020349434888,9428,0.11778749648305163,0.20331453846043718
Shunyi,Huairou,speed:strong,1336,0.4672831460369385,2041,0.15349519775013373,0.3137879482868048
Dingling,Huairou,split:train,4694,0.1561927084666714,5256,0.1558785288105617,0.0003141796561097199
Dingling,Huairou,split:val,1212,0.1302794448086836,976,0.14826280643818196,-0.017983361629498373
Dingling,Huairou,split:test,1218,0.14908501697910817,1028,0.13913840081557674,0.00994661616353143
Dingling,Huairou,season:winter,2623,0.10474758823410897,1247,0.1338134171520988,-0.029065828917989825
Dingling,Huairou,season:spring,1550,0.21658074457633664,2175,0.19357390075733985,0.023006843818996786
Dingling,Huairou,season:summer,1231,0.13858223833181782,2154,0.13229521627373886,0.0062870220580789615
Dingling,Huairou,season:autumn,1720,0.16676606063388724,1684,0.1376452361516771,0.02912082448221015
Dingling,Huairou,speed:moderate,4100,0.1513326733251748,6708,0.1515173847902827,-0.0001847114651079007
Dingling,Huairou,speed:strong,3024,0.13825760634404993,552,0.14254026669193676,-0.004282660347886824
Changping,Huairou,split:train,3535,0.1524758664756138,4856,0.1788339294777828,-0.026358063002168974
Changping,Huairou,split:val,863,0.10856787271035999,1016,0.18211369208599731,-0.07354581937563733
Changping,Huairou,split:test,686,0.0741632524166042,966,0.1629528547757012,-0.08878960235909701
Changping,Huairou,season:winter,1808,0.12434747970468425,1360,0.14550104534683192,-0.021153565642147668
Changping,Huairou,season:spring,1179,0.20409045324453762,1949,0.20169144706695985,0.002399006177577767
Changping,Huairou,season:summer,1018,0.08931148575118752,1970,0.1701758533822513,-0.08086436763106378
Changping,Huairou,season:autumn,1079,0.11658877838922198,1559,0.1841244395445086,-0.06753566115528663
Changping,Huairou,speed:moderate,2856,0.1338814541026514,6356,0.18022485508994332,-0.04634340098729192
Changping,Huairou,speed:strong,2228,0.11863178096843795,482,0.11568873558027157,0.0029430453881663793
Aotizhongxin,Huairou,split:train,5387,0.19546051584755353,7326,0.12330769147145046,0.07215282437610307
Aotizhongxin,Huairou,split:val,1195,0.22299006202646077,1485,0.13250078369962742,0.09048927832683334
Aotizhongxin,Huairou,split:test,886,0.13237555797389314,1691,0.1292288740630858,0.0031466839108073297
Aotizhongxin,Huairou,season:winter,1166,0.14470945657295858,3431,0.09669870608465066,0.04801075048830793
Aotizhongxin,Huairou,season:spring,2662,0.21020436823699812,2322,0.12662497567548187,0.08357939256151625
Aotizhongxin,Huairou,season:summer,2264,0.1731249961859509,2142,0.09848084363380129,0.07464415255214961
Aotizhongxin,Huairou,season:autumn,1376,0.18797619931752246,2607,0.1836750361059737,0.004301163211548775
Aotizhongxin,Huairou,speed:moderate,6073,0.1935219718050452,8672,0.11695631653079777,0.07656565527424744
Aotizhongxin,Huairou,speed:strong,1395,0.17494779104296537,1830,0.1419702951277931,0.03297749591517227
Dongsi,Nongzhanguan,split:train,6187,0.3907179250632008,8393,0.32732123135130986,0.06339669371189094
Dongsi,Nongzhanguan,split:val,1527,0.36958055967866077,1729,0.3403121371293018,0.029268422549358963
Dongsi,Nongzhanguan,split:test,1076,0.4069765809522151,1963,0.34900984922743483,0.057966731724780285
Dongsi,Nongzhanguan,season:winter,2223,0.42651685349689694,3032,0.3470283520913746,0.07948850140552233
Dongsi,Nongzhanguan,season:spring,2863,0.34696468050270196,2700,0.28717411596162234,0.059790564541079616
Dongsi,Nongzhanguan,season:summer,1959,0.390471516489615,3416,0.32065583012618293,0.06981568636343205
Dongsi,Nongzhanguan,season:autumn,1745,0.39936654094990187,2937,0.3740830125167281,0.025283528433173774
Dongsi,Nongzhanguan,speed:moderate,5523,0.4106612325832882,11153,0.3362275684923709,0.07443366409091728
Dongsi,Nongzhanguan,speed:strong,3267,0.3200857736324748,932,0.26422007102591233,0.055865702606562484
Tiantan,Nongzhanguan,split:train,4869,0.40633285250890416,6849,0.2571544994362912,0.14917835307261296
Tiantan,Nongzhanguan,split:val,1150,0.4112993266825807,1547,0.2626694131365003,0.1486299135460804
Tiantan,Nongzhanguan,split:test,824,0.42256953042078044,1778,0.23323073945790984,0.1893387909628706
Tiantan,Nongzhanguan,season:winter,1111,0.4726201371649559,2886,0.26043022051783066,0.21218991664712522
Tiantan,Nongzhanguan,season:spring,2401,0.3490272156156746,2050,0.24018837359755085,0.10883884201812377
Tiantan,Nongzhanguan,season:summer,1999,0.4169394400059106,2716,0.21970787703860645,0.19723156296730415
Tiantan,Nongzhanguan,season:autumn,1332,0.4117303226419339,2522,0.29574440438622634,0.11598591825570753
Tiantan,Nongzhanguan,speed:moderate,5376,0.4059600904230011,9189,0.25136838394508565,0.15459170647791542
Tiantan,Nongzhanguan,speed:strong,1467,0.416520228392022,985,0.2550147176497005,0.1615055107423215
Aotizhongxin,Nongzhanguan,split:train,3358,0.3258204877406355,2840,0.23218111406309688,0.0936393736775386
Aotizhongxin,Nongzhanguan,split:val,1214,0.3373301830486902,1154,0.2580106450292393,0.07931953801945091
