start,duration_h,peak_simultaneous_stations,hours_to_peak,reached_half_network
2014-04-13 08:00:00,50,12,36,True
2014-04-16 12:00:00,3,1,0,False
2014-04-16 16:00:00,3,1,0,False
2014-04-18 09:00:00,13,6,2,True
2014-04-19 17:00:00,1,1,0,False
2014-04-23 11:00:00,10,6,1,True
2014-04-24 15:00:00,6,3,2,False
2014-04-25 06:00:00,1,1,0,False
2014-04-25 08:00:00,15,4,3,False
2014-04-26 10:00:00,4,2,1,False
2014-04-29 09:00:00,1,1,0,False
2014-04-29 21:00:00,1,1,0,False
2014-04-30 11:00:00,1,1,0,False
2014-05-01 09:00:00,8,4,2,False
2014-05-04 06:00:00,1,1,0,False
2014-05-04 23:00:00,1,1,0,False
2014-05-05 01:00:00,2,1,0,False
2014-05-05 13:00:00,1,1,0,False
2014-05-06 10:00:00,1,1,0,False
2014-05-07 19:00:00,2,1,0,False
2014-05-18 12:00:00,1,1,0,False
2014-05-19 23:00:00,7,7,4,True
2014-05-22 03:00:00,12,10,5,True
2014-05-25 09:00:00,3,3,1,False
2014-05-28 07:00:00,2,1,0,False
2014-05-29 06:00:00,1,1,0,False
2014-06-04 16:00:00,1,1,0,False
2014-06-15 18:00:00,1,1,0,False
2014-06-16 08:00:00,11,3,5,False
2014-06-16 23:00:00,5,10,2,True
2014-06-19 10:00:00,5,6,0,True
2014-06-24 17:00:00,1,1,0,False
2014-06-26 01:00:00,9,5,2,False
2014-06-26 11:00:00,1,1,0,False
2014-07-01 14:00:00,3,2,1,False
2014-07-01 18:00:00,1,1,0,False
2014-07-01 20:00:00,2,1,0,False
2014-07-03 03:00:00,49,12,5,True
2014-07-05 06:00:00,11,4,8,False
2014-07-05 22:00:00,29,12,10,True
2014-07-07 04:00:00,1,1,0,False
2014-07-07 13:00:00,21,12,4,True
2014-07-16 11:00:00,6,2,3,False
2014-07-17 16:00:00,15,10,9,True
2014-07-18 14:00:00,16,4,1,False
2014-07-27 08:00:00,3,1,0,False
2014-07-27 12:00:00,1,1,0,False
2014-07-27 14:00:00,1,1,0,False
2014-07-28 10:00:00,4,3,1,False
2014-07-29 05:00:00,8,5,3,False
2014-07-29 22:00:00,1,2,0,False
2014-07-30 20:00:00,43,12,12,True
2014-08-02 00:00:00,5,4,2,False
2014-08-02 22:00:00,3,1,0,False
2014-08-03 02:00:00,4,3,1,False
2014-08-03 08:00:00,1,1,0,False
2014-08-03 10:00:00,1,1,0,False
2014-08-17 01:00:00,5,2,0,False
2014-08-21 16:00:00,1,2,0,False
2014-08-21 18:00:00,2,1,0,False
2014-08-23 16:00:00,1,1,0,False
2014-08-30 13:00:00,4,3,1,False
2014-09-05 11:00:00,1,1,0,False
2014-09-06 00:00:00,1,1,0,False
2014-09-06 21:00:00,19,11,14,True
2014-09-16 17:00:00,1,1,0,False
2014-09-19 15:00:00,1,1,0,False
2014-09-20 20:00:00,9,9,3,True
2014-09-26 17:00:00,6,5,1,False
2014-10-03 18:00:00,2,1,0,False
2014-10-07 16:00:00,48,12,20,True
2014-10-09 17:00:00,51,12,1,True
2014-10-17 03:00:00,1,1,0,False
2014-10-17 07:00:00,1,1,0,False
2014-10-17 23:00:00,2,2,1,False
2014-10-18 13:00:00,60,12,14,True
2014-10-23 12:00:00,17,3,12,False
2014-10-24 08:00:00,45,12,27,True
2014-10-29 22:00:00,9,1,0,False
2014-10-30 10:00:00,21,7,11,True
2014-10-31 08:00:00,4,3,0,False
2014-10-31 17:00:00,13,4,5,False
2014-11-04 19:00:00,9,5,4,False
2014-11-15 03:00:00,1,1,0,False
2014-11-15 16:00:00,20,5,4,False
2014-11-18 11:00:00,1,1,0,False
2014-11-18 23:00:00,63,12,15,True
2014-11-21 16:00:00,5,3,3,False
2014-11-23 00:00:00,2,2,1,False
2014-11-23 15:00:00,1,1,0,False
2014-11-23 19:00:00,9,5,6,False
2014-11-25 14:00:00,40,12,24,True
2014-11-28 21:00:00,36,12,17,True
2014-12-06 02:00:00,1,1,0,False
2014-12-06 10:00:00,1,1,0,False
2014-12-07 00:00:00,1,1,0,False
2014-12-08 12:00:00,1,1,0,False
2014-12-08 22:00:00,1,2,0,False
2014-12-09 00:00:00,37,12,18,True
2014-12-14 02:00:00,2,1,0,False
2014-12-14 23:00:00,8,7,5,True
2014-12-17 20:00:00,4,2,1,False
2014-12-18 09:00:00,2,1,0,False
2014-12-18 17:00:00,5,5,3,False
2014-12-19 04:00:00,1,2,0,False
2014-12-19 06:00:00,1,1,0,False
2014-12-23 02:00:00,2,1,0,False
2014-12-23 10:00:00,2,1,0,False
2014-12-23 16:00:00,1,1,0,False
2014-12-26 04:00:00,1,1,0,False
2014-12-26 17:00:00,8,4,0,False
2014-12-27 04:00:00,5,1,0,False
2014-12-27 10:00:00,22,10,8,True
2014-12-28 21:00:00,13,6,2,True
2015-01-02 22:00:00,1,1,0,False
2015-01-03 00:00:00,5,2,4,False
2015-01-03 07:00:00,1,2,0,False
2015-01-03 13:00:00,47,10,30,True
2015-01-07 00:00:00,1,1,0,False
2015-01-07 03:00:00,1,1,0,False
2015-01-08 00:00:00,1,1,0,False
2015-01-08 06:00:00,1,1,0,False
2015-01-08 14:00:00,15,10,8,True
2015-01-09 21:00:00,18,8,1,True
2015-01-10 18:00:00,6,7,2,True
2015-01-11 23:00:00,2,1,0,False
2015-01-12 10:00:00,1,1,0,False
2015-01-12 15:00:00,14,6,5,True
2015-01-13 11:00:00,3,1,0,False
2015-01-13 16:00:00,1,1,0,False
2015-01-13 18:00:00,62,12,29,True
2015-01-18 01:00:00,2,1,0,False
2015-01-20 23:00:00,2,1,0,False
2015-01-22 11:00:00,1,1,0,False
2015-01-22 16:00:00,42,12,27,True
2015-01-24 14:00:00,1,1,0,False
2015-01-25 10:00:00,25,12,14,True
2015-01-29 02:00:00,1,1,0,False
2015-02-01 23:00:00,9,5,5,False
2015-02-02 15:00:00,24,10,19,True
2015-02-06 02:00:00,1,1,0,False
2015-02-09 20:00:00,9,5,2,False
2015-02-10 09:00:00,4,1,0,False
2015-02-10 19:00:00,3,2,2,False
2015-02-10 23:00:00,1,1,0,False
2015-02-11 03:00:00,3,5,1,False
2015-02-13 19:00:00,66,12,15,True
2015-02-18 21:00:00,35,12,4,True
2015-02-20 18:00:00,24,12,19,True
2015-02-23 20:00:00,9,8,2,True
2015-02-24 16:00:00,16,12,7,True
2015-02-28 12:00:00,12,12,7,True
2015-03-01 01:00:00,5,1,0,False
2015-03-01 10:00:00,2,1,0,False
2015-03-02 01:00:00,1,1,0,False
2015-03-05 20:00:00,11,9,2,True
2015-03-06 08:00:00,1,1,0,False
2015-03-06 10:00:00,51,12,5,True
2015-03-15 10:00:00,1,1,0,False
2015-03-16 11:00:00,26,12,2,True
2015-03-17 20:00:00,1,1,0,False
2015-03-24 23:00:00,1,1,0,False
2015-03-26 10:00:00,2,1,0,False
2015-03-26 20:00:00,2,1,0,False
2015-03-27 05:00:00,1,1,0,False
2015-03-27 09:00:00,1,1,0,False
2015-03-27 11:00:00,1,1,0,False
2015-03-27 22:00:00,4,2,0,False
2015-03-30 09:00:00,1,1,0,False
2015-03-30 13:00:00,27,7,8,True
2015-04-05 03:00:00,4,1,0,False
2015-04-09 07:00:00,11,9,6,True
2015-04-09 19:00:00,19,11,16,True
2015-04-11 02:00:00,12,12,7,True
2015-04-15 11:00:00,2,1,0,False
2015-04-15 18:00:00,3,9,1,True
2015-04-15 23:00:00,1,1,0,False
2015-04-16 06:00:00,1,1,0,False
2015-04-16 15:00:00,1,1,0,False
2015-04-16 19:00:00,1,1,0,False
2015-04-17 01:00:00,1,1,0,False
2015-04-17 08:00:00,1,1,0,False
2015-04-17 17:00:00,1,1,0,False
2015-04-17 21:00:00,2,1,0,False
2015-04-18 00:00:00,1,1,0,False
2015-04-18 06:00:00,1,1,0,False
2015-04-18 09:00:00,6,2,1,False
2015-04-18 16:00:00,2,1,0,False
2015-04-19 10:00:00,1,1,0,False
2015-04-20 20:00:00,1,1,0,False
2015-04-21 19:00:00,1,1,0,False
2015-04-22 10:00:00,1,1,0,False
2015-04-22 12:00:00,1,1,0,False
2015-04-22 18:00:00,1,1,0,False
2015-04-24 13:00:00,2,1,0,False
2015-04-25 11:00:00,2,1,0,False
2015-04-26 13:00:00,2,1,0,False
2015-04-29 14:00:00,1,1,0,False
2015-04-30 12:00:00,3,3,1,False
2015-04-30 21:00:00,17,10,13,True
2015-05-05 08:00:00,1,1,0,False
2015-05-07 08:00:00,1,1,0,False
2015-05-08 00:00:00,1,1,0,False
2015-05-08 13:00:00,1,1,0,False
2015-05-16 00:00:00,2,1,0,False
2015-05-17 11:00:00,3,1,0,False
2015-05-17 15:00:00,13,5,8,False
2015-05-18 16:00:00,1,1,0,False
2015-05-20 02:00:00,1,1,0,False
2015-05-22 10:00:00,1,1,0,False
2015-05-23 13:00:00,1,1,0,False
2015-05-24 08:00:00,4,6,2,True
2015-05-24 13:00:00,2,2,0,False
2015-05-28 09:00:00,3,1,0,False
2015-06-08 14:00:00,2,1,0,False
2015-06-16 14:00:00,1,1,0,False
2015-06-22 06:00:00,1,1,0,False
2015-06-23 01:00:00,17,12,7,True
2015-06-23 23:00:00,11,4,2,False
2015-06-25 12:00:00,1,1,0,False
2015-06-25 15:00:00,1,1,0,False
2015-06-26 00:00:00,1,1,0,False
2015-06-26 21:00:00,1,1,0,False
2015-06-27 21:00:00,2,1,0,False
2015-06-28 00:00:00,1,1,0,False
2015-06-28 11:00:00,7,10,2,True
2015-06-28 19:00:00,1,2,0,False
2015-06-28 21:00:00,17,11,14,True
2015-07-08 08:00:00,8,6,2,True
2015-07-12 08:00:00,3,4,1,False
2015-07-21 13:00:00,9,6,2,True
2015-08-13 15:00:00,1,1,0,False
2015-08-13 17:00:00,1,1,0,False
2015-09-17 11:00:00,5,3,0,False
2015-09-17 17:00:00,5,1,0,False
2015-09-17 23:00:00,6,8,3,True
2015-09-22 04:00:00,14,10,6,True
2015-09-24 11:00:00,7,10,4,True
2015-10-04 18:00:00,8,6,1,True
2015-10-05 03:00:00,1,1,0,False
2015-10-05 09:00:00,61,11,3,True
2015-10-14 22:00:00,1,1,0,False
2015-10-15 20:00:00,1,1,0,False
2015-10-15 22:00:00,5,3,0,False
2015-10-16 09:00:00,42,12,9,True
2015-11-03 08:00:00,53,12,5,True
2015-11-12 11:00:00,84,12,23,True
2015-11-17 01:00:00,1,1,0,False
2015-11-27 00:00:00,77,12,20,True
2015-11-30 08:00:00,42,12,8,True
2015-12-05 22:00:00,4,1,0,False
2015-12-06 15:00:00,15,7,10,True
2015-12-07 07:00:00,74,12,12,True
2015-12-10 10:00:00,1,2,0,False
2015-12-11 21:00:00,1,1,0,False
2015-12-12 03:00:00,1,1,0,False
2015-12-12 16:00:00,14,8,3,True
2015-12-13 09:00:00,34,12,22,True
2015-12-18 04:00:00,1,1,0,False
2015-12-18 23:00:00,2,1,0,False
2015-12-19 04:00:00,4,3,2,False
2015-12-19 16:00:00,1,1,0,False
2015-12-19 19:00:00,13,6,6,True
2015-12-20 11:00:00,86,12,8,True
2015-12-24 12:00:00,61,12,20,True
2015-12-28 13:00:00,1,1,0,False
2015-12-28 20:00:00,39,12,18,True
2015-12-31 22:00:00,8,6,1,True
2016-01-01 10:00:00,1,2,0,False
2016-01-01 13:00:00,64,12,23,True
2016-01-09 20:00:00,5,4,3,False
2016-01-10 04:00:00,1,1,0,False
2016-01-15 02:00:00,4,2,2,False
2016-01-15 07:00:00,1,1,0,False
2016-01-15 10:00:00,1,1,0,False
2016-01-15 22:00:00,6,10,2,True
2016-01-20 19:00:00,1,1,0,False
2016-01-20 21:00:00,5,2,4,False
2016-01-21 03:00:00,1,1,0,False
2016-01-21 21:00:00,5,2,3,False
2016-01-27 19:00:00,11,7,7,True
2016-01-28 22:00:00,3,1,0,False
2016-01-30 04:00:00,1,1,0,False
2016-02-06 23:00:00,2,1,0,False
2016-02-07 22:00:00,12,12,4,True
2016-02-10 20:00:00,32,6,5,True
2016-02-12 10:00:00,12,9,10,True
2016-02-22 01:00:00,1,1,0,False
2016-03-01 20:00:00,19,9,15,True
2016-03-02 20:00:00,52,12,13,True
2016-03-09 14:00:00,1,1,0,False
2016-03-12 02:00:00,1,1,0,False
2016-03-12 09:00:00,1,1,0,False
2016-03-12 23:00:00,3,1,0,False
2016-03-15 16:00:00,1,1,0,False
2016-03-15 18:00:00,4,7,3,True
2016-03-15 23:00:00,62,12,11,True
2016-03-19 03:00:00,2,4,0,False
2016-03-21 22:00:00,1,1,0,False
2016-03-22 00:00:00,7,4,4,False
2016-03-31 08:00:00,1,1,0,False
2016-03-31 10:00:00,13,12,4,True
2016-04-01 09:00:00,1,1,0,False
2016-04-04 19:00:00,2,1,0,False
2016-04-04 23:00:00,1,1,0,False
2016-04-05 07:00:00,1,1,0,False
2016-04-05 09:00:00,2,1,0,False
2016-04-05 12:00:00,6,3,3,False
2016-04-06 13:00:00,20,12,8,True
2016-04-09 09:00:00,2,1,0,False
2016-04-09 13:00:00,3,3,1,False
2016-04-13 05:00:00,12,12,6,True
2016-04-16 03:00:00,1,1,0,False
2016-04-16 09:00:00,1,1,0,False
2016-04-19 11:00:00,1,1,0,False
2016-04-21 05:00:00,8,8,5,True
2016-04-24 16:00:00,1,1,0,False
2016-04-24 19:00:00,1,1,0,False
2016-04-24 21:00:00,2,1,0,False
2016-04-25 20:00:00,1,1,0,False
2016-04-29 13:00:00,28,11,9,True
2016-04-30 18:00:00,30,11,18,True
2016-05-03 23:00:00,1,1,0,False
2016-05-04 02:00:00,1,1,0,False
2016-05-04 07:00:00,2,1,0,False
2016-05-05 23:00:00,5,12,2,True
2016-05-11 10:00:00,17,7,3,True
2016-05-30 20:00:00,1,1,0,False
2016-06-08 19:00:00,10,8,1,True
2016-06-09 08:00:00,6,2,2,False
2016-06-19 23:00:00,5,3,2,False
2016-07-04 01:00:00,10,8,3,True
2016-07-19 06:00:00,5,3,1,False
2016-07-23 15:00:00,2,2,1,False
2016-07-23 18:00:00,4,3,2,False
2016-07-26 05:00:00,1,1,0,False
2016-07-29 23:00:00,2,1,0,False
2016-07-30 08:00:00,2,4,1,False
2016-07-30 11:00:00,8,12,4,True
2016-08-04 06:00:00,3,1,0,False
2016-09-15 22:00:00,6,4,3,False
2016-09-16 10:00:00,6,6,1,True
2016-09-16 17:00:00,2,4,1,False
2016-09-23 20:00:00,6,3,3,False
2016-09-24 18:00:00,16,10,2,True
2016-09-25 12:00:00,2,1,0,False
2016-09-25 16:00:00,6,4,1,False
2016-09-26 22:00:00,1,1,0,False
2016-10-01 10:00:00,30,10,2,True
2016-10-02 18:00:00,19,10,4,True
2016-10-03 22:00:00,3,2,2,False
2016-10-10 17:00:00,1,1,0,False
2016-10-10 22:00:00,1,1,0,False
2016-10-11 19:00:00,1,1,0,False
2016-10-13 14:00:00,1,1,0,False
2016-10-13 16:00:00,57,12,18,True
2016-10-18 19:00:00,36,12,15,True
2016-11-03 11:00:00,60,12,4,True
2016-11-09 12:00:00,34,12,11,True
2016-11-13 22:00:00,3,2,1,False
2016-11-16 00:00:00,1,1,0,False
2016-11-16 22:00:00,7,4,2,False
2016-11-17 21:00:00,34,12,16,True
2016-11-19 18:00:00,5,8,1,True
2016-11-24 20:00:00,8,4,1,False
2016-11-25 13:00:00,1,1,0,False
2016-11-25 17:00:00,38,12,16,True
2016-11-29 13:00:00,1,1,0,False
2016-11-29 16:00:00,1,1,0,False
2016-11-29 18:00:00,1,1,0,False
2016-11-30 11:00:00,4,5,1,False
2016-12-02 19:00:00,10,8,3,True
2016-12-03 10:00:00,1,1,0,False
2016-12-03 13:00:00,25,12,5,True
2016-12-04 19:00:00,9,11,2,True
2016-12-05 06:00:00,2,1,0,False
2016-12-06 18:00:00,1,1,0,False
2016-12-06 21:00:00,1,2,0,False
2016-12-06 23:00:00,2,2,1,False
2016-12-07 14:00:00,6,6,2,True
2016-12-07 21:00:00,15,10,4,True
2016-12-11 00:00:00,2,1,0,False
2016-12-11 03:00:00,51,12,17,True
2016-12-13 07:00:00,1,1,0,False
2016-12-16 01:00:00,6,4,2,False
2016-12-16 12:00:00,17,8,7,True
2016-12-17 11:00:00,115,12,61,True
2016-12-24 18:00:00,10,4,6,False
2016-12-25 16:00:00,11,3,3,False
2016-12-28 03:00:00,1,1,0,False
2016-12-29 21:00:00,83,12,45,True
2017-01-02 09:00:00,126,12,15,True
2017-01-07 22:00:00,4,3,2,False
2017-01-17 19:00:00,3,1,0,False
2017-01-24 00:00:00,1,1,0,False
2017-01-24 23:00:00,10,6,7,True
2017-01-25 11:00:00,1,1,0,False
2017-01-25 13:00:00,1,1,0,False
2017-01-25 15:00:00,25,12,5,True
2017-01-27 20:00:00,31,12,6,True
2017-02-01 21:00:00,4,2,2,False
2017-02-02 02:00:00,1,1,0,False
2017-02-02 23:00:00,7,3,2,False
2017-02-03 15:00:00,31,12,8,True
2017-02-11 21:00:00,7,7,1,True
2017-02-12 22:00:00,2,1,0,False
2017-02-13 01:00:00,5,5,2,False
2017-02-13 22:00:00,4,2,1,False
2017-02-14 10:00:00,48,12,7,True
2017-02-18 21:00:00,1,1,0,False
2017-02-19 09:00:00,2,1,0,False
2017-02-19 12:00:00,2,3,1,False
2017-02-22 13:00:00,1,1,0,False
