weather_feature,past_pm_quintile,future_weather_quintile,n,median_past_pm,median_future_pm,median_pm_change,median_future_log_anomaly,prob_future_mean_over_75,prob_future_mean_over_150
pbl,3,4,85953,41.0,40.416666666666664,-0.25,-0.03263749769941645,0.10487126685514177,0.003909113119960909
pbl,3,5,84439,40.916666666666664,34.791666666666664,-5.333333333333329,-0.17364666208322413,0.053328438280889165,0.0007461007354421535
pbl,4,1,84859,49.875,54.916666666666664,4.75,0.2589173457595019,0.30426943518071153,0.04806797157637964
pbl,4,2,86791,50.25,52.375,2.25,0.20117966424823663,0.2688297173670081,0.03613277874433985
pbl,4,3,86891,49.625,49.166666666666664,-0.375,0.13804160715091887,0.2155689311896514,0.016583996041016905
pbl,4,4,85249,49.625,45.125,-4.0,0.04844367966901508,0.1519783223263616,0.00838719515771446
pbl,4,5,80507,48.916666666666664,38.458333333333336,-9.291666666666664,-0.10315421850929359,0.07629150260225818,0.0021488814637236515
pbl,5,1,97384,72.125,70.5,-0.8333333333333357,0.45009669070225533,0.4635771790027109,0.12060502751992114
pbl,5,2,88712,71.54166666666667,64.79166666666667,-5.760869565217394,0.3434490563341367,0.40384615384615385,0.08494904860672739
pbl,5,3,82990,70.0,59.333333333333336,-9.375,0.25663619303766766,0.3354259549343294,0.05128328714302928
pbl,5,4,79604,70.41666666666667,53.791666666666664,-15.500000000000004,0.1246311240245864,0.26630571328073965,0.02932013466659967
pbl,5,5,74097,69.70833333333333,45.458333333333336,-23.291666666666668,-0.0641973737597586,0.1554313939835621,0.009136672199954114
ventilation,1,1,82289,28.958333333333332,41.958333333333336,9.916666666666666,-0.04282207973022759,0.17090984214172003,0.011787723754086208
ventilation,1,2,81616,29.916666666666668,39.666666666666664,7.375,-0.14994280488351563,0.14467751421289943,0.011076259556949618
ventilation,1,3,84250,29.375,36.291666666666664,5.125000000000002,-0.22933810718037506,0.1049139465875371,0.005281899109792285
ventilation,1,4,85559,30.833333333333332,34.25,2.2916666666666643,-0.30129097959872864,0.06464544933905259,0.0014609801423579052
ventilation,1,5,92107,30.416666666666668,28.041666666666668,-2.2500000000000036,-0.45726514714625804,0.02616522088440618,8.685550501047694e-05
ventilation,2,1,82991,33.833333333333336,43.541666666666664,8.416666666666664,0.07707078809872077,0.17318745406128375,0.01654396259835404
ventilation,2,2,85483,34.416666666666664,41.291666666666664,5.791666666666664,-0.011329123554627193,0.1477837698723723,0.016506205912286652
ventilation,2,3,85964,34.5,39.416666666666664,4.291666666666664,-0.05926400457187242,0.12800707272811876,0.008387231864501419
ventilation,2,4,84854,34.916666666666664,36.291666666666664,1.125,-0.14361398897045774,0.08501661677705234,0.002156645532326113
ventilation,2,5,86309,35.291666666666664,31.208333333333332,-3.75,-0.29365122054626625,0.03781760882410873,0.00042869225689093837
ventilation,3,1,82826,39.875,48.208333333333336,7.333333333333336,0.16915060783469943,0.21464274503175332,0.021925482336464394
ventilation,3,2,86774,40.541666666666664,45.416666666666664,4.666666666666664,0.09456887126763883,0.1872450273123286,0.021342798534123124
ventilation,3,3,86386,40.666666666666664,43.583333333333336,2.8749999999999973,0.04892171747220904,0.16614960757530156,0.013335494177297248
ventilation,3,4,84958,41.458333333333336,40.083333333333336,-0.9583333333333286,-0.049658281214675526,0.11499799901127616,0.00502601285340992
ventilation,3,5,84136,41.583333333333336,34.458333333333336,-6.625,-0.20902670472137075,0.054352476942093754,0.001212322905771608
ventilation,4,1,82698,48.541666666666664,54.583333333333336,5.958333333333329,0.2841458361807441,0.28310237248784736,0.03798157150112457
ventilation,4,2,85787,49.375,51.75,2.583333333333343,0.20887834742804046,0.25657733689253615,0.0363574900625969
ventilation,4,3,87168,49.541666666666664,49.04257246376811,0.0416666666666643,0.15060368385340367,0.2289142804698972,0.02387343979441997
ventilation,4,4,86284,50.416666666666664,44.958333333333336,-4.541666666666671,0.03772855733894993,0.16728478049232767,0.010708822029576747
ventilation,4,5,82360,50.541666666666664,38.583333333333336,-10.958333333333332,-0.13823731060921673,0.08705682370082564,0.0033875667799902866
ventilation,5,1,93299,68.45833333333333,67.79166666666667,0.4166666666666714,0.469605304711114,0.436038971478794,0.10269134717413905
ventilation,5,2,84354,70.95833333333333,64.59545454545454,-5.25,0.35819097890140517,0.4007515944709202,0.08753586077720084
ventilation,5,3,80738,70.95833333333333,60.958333333333336,-8.375,0.28500483712291713,0.35901310411454335,0.06579305903044415
ventilation,5,4,83406,72.41666666666667,54.708333333333336,-15.666666666666671,0.1306165848198771,0.2864182432918495,0.03883413663285615
ventilation,5,5,80990,71.91666666666667,45.875,-23.999999999999993,-0.07217075747417359,0.17486109396221755,0.012742313865909372
rh950,1,1,95719,34.916666666666664,39.916666666666664,3.4166666666666714,-0.26727301942105325,0.10724098663797156,0.0046908137360398665
rh950,1,2,82774,29.583333333333332,37.5,6.291666666666664,-0.16897170786398993,0.11037282238384033,0.005327759924614009
rh950,1,3,79627,27.333333333333332,33.958333333333336,5.541666666666666,-0.17854772788701942,0.09688924610998782,0.005048538812211938
rh950,1,4,82354,26.5,30.916666666666668,3.791666666666668,-0.2558381794668504,0.0850110498579304,0.00727347791242684
rh950,1,5,85347,31.291666666666668,32.5,1.1666666666666679,-0.334778572264914,0.10000351506204085,0.006573166016380189
rh950,2,1,88031,37.791666666666664,41.333333333333336,3.083333333333332,-0.07808757907291408,0.11633401869795867,0.005486703547613909
rh950,2,2,86165,33.625,39.333333333333336,4.958333333333332,-0.036118227434338714,0.11352637381767539,0.0072535252132536416
rh950,2,3,85205,32.041666666666664,37.041666666666664,4.375,-0.04189135293833601,0.10987618097529488,0.007652133090781057
rh950,2,4,85921,32.041666666666664,34.791666666666664,2.583333333333332,-0.10013129958730833,0.10440986487587435,0.009671675143445723
rh950,2,5,80279,37.791666666666664,36.541666666666664,-0.875,-0.18001706516715524,0.12620984317193787,0.014125736493977255
rh950,3,1,86170,43.583333333333336,45.041666666666664,1.875,0.025459364605940966,0.14868283625391668,0.005976557966809795
rh950,3,2,87177,39.791666666666664,43.041666666666664,3.3333333333333357,0.06645447557491717,0.1471718457850121,0.008786721268224417
rh950,3,3,86740,38.375,41.041666666666664,2.875,0.05225553473763727,0.13882868342172008,0.011643993543924371
rh950,3,4,85176,38.625,39.208333333333336,1.0416666666666679,0.006321127667948012,0.13659951159951159,0.014910303371841833
rh950,3,5,79817,44.541666666666664,40.625,-3.25,-0.09340790923333486,0.1679216207073681,0.02240124284300337
rh950,4,1,83106,51.583333333333336,49.375,-1.125,0.12553981245063933,0.20205520660361467,0.01013163911149616
rh950,4,2,86711,48.333333333333336,48.333333333333336,0.5416666666666643,0.1631514731918268,0.20241953154732387,0.01464635398046384
rh950,4,3,86312,46.833333333333336,46.708333333333336,0.4166666666666714,0.1620898908588253,0.1922328297339883,0.022036333302437667
rh950,4,4,84740,47.666666666666664,44.958333333333336,-1.812629399585921,0.10668755675212882,0.19635355204153881,0.025831956573046967
rh950,4,5,83428,54.625,46.833333333333336,-6.166666666666664,0.006319496365449595,0.23260775758738073,0.04004650716785731
rh950,5,1,73531,70.83333333333333,58.041666666666664,-9.958333333333329,0.23624927191648068,0.30978770858549454,0.030381743754334906
rh950,5,2,82196,67.5,57.958333333333336,-8.291666666666668,0.268848187556627,0.3094311158693854,0.040549418463185556
rh950,5,3,85094,65.95833333333333,56.666666666666664,-7.75,0.28565372958986457,0.3144640045126566,0.054081368839166095
rh950,5,4,85010,67.625,55.083333333333336,-10.541666666666671,0.23695936689491504,0.3143394894718268,0.06781555111163393
rh950,5,5,96956,83.04166666666667,63.875,-15.458333333333329,0.19430834503966993,0.4108049011922934,0.10947233796773795
precipitation,1,1,72167,22.666666666666668,28.666666666666668,4.958333333333332,-0.16265596211689903,0.013538043704186124,0.0001524242382252276
precipitation,1,2,81285,28.583333333333332,36.041666666666664,6.125,-0.1777516723643929,0.07500768899550962,0.0022882450636648828
precipitation,1,3,99387,36.125,44.458333333333336,6.708333333333334,-0.2003082533113627,0.17057562860333847,0.007626751989696842
precipitation,1,4,94964,37.291666666666664,42.0625,3.5416666666666643,-0.27277208327993074,0.17493997725453855,0.015458489532875616
precipitation,1,5,78018,26.458333333333332,26.458333333333332,-0.4166666666666643,-0.40830141319362545,0.025788920505524365,0.00037170909277346254
precipitation,2,1,93240,27.955357142857142,32.958333333333336,4.375,-0.017095167477184425,0.02311239811239811,0.0003968253968253968
precipitation,2,2,89422,34.791666666666664,40.75,5.166666666666664,-0.030797710972386184,0.1102972422893695,0.0027062691507682675
precipitation,2,3,82680,41.083333333333336,47.958333333333336,5.791666666666668,-0.04536702631079237,0.21796081277213353,0.01652152878567973
precipitation,2,4,76827,41.708333333333336,44.75,2.4583333333333357,-0.10325764158044137,0.19983859840941337,0.02583727075116821
precipitation,2,5,83432,33.083333333333336,30.416666666666668,-2.5,-0.25061429903650867,0.03710806405216224,0.0011386518362259085
precipitation,3,1,95150,33.208333333333336,37.041666666666664,3.5,0.09700933089830391,0.03558591697320021,0.00016815554387808723
precipitation,3,2,90473,41.833333333333336,45.541666666666664,3.7916666666666643,0.07079085251424644,0.15906403015264223,0.0039680346622749324
precipitation,3,3,78400,48.583333333333336,53.0,4.666666666666664,0.057882690089347946,0.27993622448979594,0.027232142857142858
precipitation,3,4,75735,49.041666666666664,49.208333333333336,0.5,-0.012747355958052617,0.24506502937875488,0.03506965075592527
precipitation,3,5,85322,39.416666666666664,33.791666666666664,-5.083333333333336,-0.1653282671255809,0.052014720705093644,0.0021448161083893955
precipitation,4,1,91314,40.25,41.833333333333336,1.4900362318840568,0.2196357362727177,0.069638828657161,0.00022997568828438136
precipitation,4,2,87850,50.875,51.916666666666664,1.3333333333333357,0.1823053366835167,0.23410358565737052,0.009948776323278315
precipitation,4,3,79091,59.333333333333336,59.625,1.5,0.14836259058439794,0.35445246614659065,0.04670569344173168
precipitation,4,4,78211,60.416666666666664,55.5,-3.0,0.07682452882583372,0.3131273094577489,0.05760059326693176
precipitation,4,5,87831,47.166666666666664,37.916666666666664,-8.541666666666668,-0.07027538422963737,0.08575559882046202,0.005123475765959627
precipitation,5,1,72856,52.95742753623189,49.666666666666664,-2.875,0.4069082928704143,0.15276710222905457,0.0023059185242121443
precipitation,5,2,75192,69.08333333333333,61.416666666666664,-6.0,0.31316605444395285,0.3481354399404192,0.032144377061389506
precipitation,5,3,84889,85.33333333333333,72.91666666666667,-9.333333333333336,0.268007083915404,0.48189989280118745,0.10268703836775082
precipitation,5,4,99369,91.70833333333333,71.83333333333333,-14.875000000000004,0.2091394602108636,0.4735480884380441,0.1309965884732663
precipitation,5,5,90481,65.0,44.916666666666664,-18.25,0.05112711650327473,0.17962887235994296,0.024635006244404904
