month,dataset_clock_hour,n,median_pm,p90_pm,prob_pm_over_75,prob_pm_over_150
9,0,21854,34.0,72.0,0.08666605655715201,0.004941887068728837
9,3,21862,30.0,67.0,0.07067056993870643,0.003339127252767359
9,6,21677,25.0,58.0,0.04041149605572727,0.0016146145684365917
9,9,21718,24.0,54.0,0.03177088129662031,0.0013352979095681001
9,12,21815,29.0,63.0,0.05234930093972038,0.0027504011001604402
9,15,21865,32.0,69.0,0.07422821861422364,0.00393322661788246
9,18,21865,32.0,69.0,0.07409101303453007,0.004619254516350332
9,21,21858,32.0,69.0,0.07658523195168816,0.004803733186933846
10,0,22753,38.0,89.0,0.1538258691161605,0.018107502307388036
10,3,22763,36.0,89.0,0.1483987172165356,0.018450995035803715
10,6,22752,29.0,75.0,0.0979254571026723,0.009933192686357244
10,9,22753,28.0,70.0,0.08073660616182482,0.007603392959170219
10,12,22762,37.0,86.0,0.138827871013092,0.014058518583604252
10,15,22764,40.0,91.0,0.16521700931295027,0.018538042523282377
10,18,22758,38.0,89.0,0.15449512259425258,0.016873187450566835
10,21,22752,37.0,87.0,0.14526195499296765,0.015822784810126583
11,0,22023,50.0,119.0,0.27625664078463424,0.04636062298506107
11,3,22026,52.0,125.0,0.3010987015345501,0.05906655770453101
11,6,22019,44.0,112.0,0.23279894636450338,0.04409827875925337
11,9,22027,42.0,107.0,0.21201253007672402,0.04008716575112362
11,12,22028,54.0,128.0,0.3145996005084438,0.06092246232068277
11,15,22033,55.0,131.0,0.32582943766168926,0.06794353923659964
11,18,22030,52.0,125.0,0.2939627780299591,0.058374943259192014
11,21,22027,49.0,120.0,0.2708494120851682,0.051073682298996684
12,0,22767,66.0,159.0,0.4270215663021039,0.11380506873984275
12,3,22771,71.0,170.0,0.46510913003381493,0.13626981687233763
12,6,22745,59.0,153.0,0.38390855132996266,0.10393493075401188
12,9,22770,55.0,147.0,0.35046113306982873,0.09420289855072464
12,12,22770,71.0,169.0,0.46240667545015374,0.13460693895476505
12,15,22772,74.0,174.0,0.48871421043386615,0.14430001756543123
12,18,22766,69.5,167.0,0.45484494421505756,0.1300623737151893
12,21,22769,66.0,159.0,0.42557863762132725,0.1160349598137819
