source,target,distance_km,lead_hour,wind_regime,n,partial_r_source_to_target_given_target_now
12,2,106.36778474992234,3,downwind,5732,0.2562746215931448
12,2,106.36778474992234,3,crosswind,1631,0.1154649455771087
12,2,106.36778474992234,3,upwind,4297,0.002234467262055016
12,2,106.36778474992234,6,downwind,5733,0.23930313216905472
12,2,106.36778474992234,6,crosswind,1630,0.0897801922666861
12,2,106.36778474992234,6,upwind,4296,0.00358274290884242
12,2,106.36778474992234,12,downwind,5732,0.11374297986896446
12,2,106.36778474992234,12,crosswind,1629,0.031584106089709164
12,2,106.36778474992234,12,upwind,4293,-0.012588703559521791
12,2,106.36778474992234,24,downwind,5728,0.05656053450487277
12,2,106.36778474992234,24,crosswind,1628,0.046488179319830396
12,2,106.36778474992234,24,upwind,4290,-0.003633622263464335
11,2,108.66152302088751,3,downwind,3404,0.210630991465117
11,2,108.66152302088751,3,crosswind,6343,0.06731556395704848
11,2,108.66152302088751,3,upwind,1912,-0.07465918730839856
11,2,108.66152302088751,6,downwind,3403,0.1974204380191612
11,2,108.66152302088751,6,crosswind,6340,0.08263729792655643
11,2,108.66152302088751,6,upwind,1915,-0.053647774663581026
11,2,108.66152302088751,12,downwind,3401,0.07167878897578259
11,2,108.66152302088751,12,crosswind,6340,0.055089835612660266
11,2,108.66152302088751,12,upwind,1912,0.013736030041987592
11,2,108.66152302088751,24,downwind,3394,-0.007875849780686422
11,2,108.66152302088751,24,crosswind,6339,0.00862847306079672
11,2,108.66152302088751,24,upwind,1912,0.0016552288588903958
6,2,127.4385723658937,3,downwind,4018,0.2864984048611239
6,2,127.4385723658937,3,crosswind,2118,0.14990778240225808
6,2,127.4385723658937,3,upwind,5524,0.04773778390271064
6,2,127.4385723658937,6,downwind,4017,0.29335744819794257
6,2,127.4385723658937,6,crosswind,2118,0.14872217179804015
6,2,127.4385723658937,6,upwind,5524,0.0553353867601032
6,2,127.4385723658937,12,downwind,4016,0.23000210448874117
6,2,127.4385723658937,12,crosswind,2115,0.12566963218643926
6,2,127.4385723658937,12,upwind,5523,0.0835119871466485
6,2,127.4385723658937,24,downwind,4012,0.1217175260707862
6,2,127.4385723658937,24,crosswind,2114,0.10167733528929257
6,2,127.4385723658937,24,upwind,5520,0.08487259430517419
5,2,158.5488006722822,3,downwind,5628,0.1170142923048732
5,2,158.5488006722822,3,crosswind,1650,-0.005056740859202806
5,2,158.5488006722822,3,upwind,4383,-0.00459100693364991
5,2,158.5488006722822,6,downwind,5629,0.1333391196242414
5,2,158.5488006722822,6,crosswind,1649,-0.03266704511380821
5,2,158.5488006722822,6,upwind,4382,0.005143999467171142
5,2,158.5488006722822,12,downwind,5628,0.09722742028792977
5,2,158.5488006722822,12,crosswind,1648,-0.008349261622787716
5,2,158.5488006722822,12,upwind,4379,0.010796651328945283
5,2,158.5488006722822,24,downwind,5625,0.036336833201863344
5,2,158.5488006722822,24,crosswind,1648,0.004978048822513727
5,2,158.5488006722822,24,upwind,4374,0.027712662425316385
1,3,97.23486515706671,3,downwind,4828,0.2655877235340367
1,3,97.23486515706671,3,crosswind,3814,0.2339829017526453
1,3,97.23486515706671,3,upwind,3019,0.02814712349284855
1,3,97.23486515706671,6,downwind,4829,0.26665434067401866
1,3,97.23486515706671,6,crosswind,3813,0.22914650800978217
1,3,97.23486515706671,6,upwind,3018,0.04027209752011806
1,3,97.23486515706671,12,downwind,4826,0.12784194129365836
1,3,97.23486515706671,12,crosswind,3813,0.14779369276036128
1,3,97.23486515706671,12,upwind,3016,0.04068178020869281
1,3,97.23486515706671,24,downwind,4829,-0.03104200596401988
1,3,97.23486515706671,24,crosswind,3807,0.047708480419070234
1,3,97.23486515706671,24,upwind,3011,-0.05516907203125786
4,3,125.90054307398253,3,downwind,3293,0.1325669161693856
4,3,125.90054307398253,3,crosswind,2709,0.1109800561117515
4,3,125.90054307398253,3,upwind,5659,0.10433856707367983
4,3,125.90054307398253,6,downwind,3292,0.1101445946803339
4,3,125.90054307398253,6,crosswind,2710,0.1346171112154244
4,3,125.90054307398253,6,upwind,5658,0.08767585576632357
4,3,125.90054307398253,12,downwind,3290,0.06886532848894458
4,3,125.90054307398253,12,crosswind,2711,0.03639469679752949
4,3,125.90054307398253,12,upwind,5654,0.05504559373777787
4,3,125.90054307398253,24,downwind,3283,0.0004138457384626398
4,3,125.90054307398253,24,crosswind,2708,-0.0074180147681056526
4,3,125.90054307398253,24,upwind,5656,0.0007032557986304458
9,3,126.47618856325923,3,downwind,4111,0.3308450282682146
9,3,126.47618856325923,3,crosswind,4447,0.35428853434782437
9,3,126.47618856325923,3,upwind,3093,0.08531239112512062
9,3,126.47618856325923,6,downwind,4113,0.36833324988202615
9,3,126.47618856325923,6,crosswind,4445,0.39345695442517215
9,3,126.47618856325923,6,upwind,3092,0.10795809755227295
9,3,126.47618856325923,12,downwind,4110,0.25008530524536976
9,3,126.47618856325923,12,crosswind,4446,0.34315475508783194
9,3,126.47618856325923,12,upwind,3089,0.11113395324949675
9,3,126.47618856325923,24,downwind,4111,0.1058078600539154
9,3,126.47618856325923,24,crosswind,4439,0.18715281698647823
9,3,126.47618856325923,24,upwind,3087,0.08837484567991384
8,3,148.2762925445811,3,downwind,4742,0.2579861002838942
8,3,148.2762925445811,3,crosswind,2487,0.17011728322987768
8,3,148.2762925445811,3,upwind,4432,0.06901108279594022
8,3,148.2762925445811,6,downwind,4742,0.25767470298969664
8,3,148.2762925445811,6,crosswind,2486,0.2159637299128839
8,3,148.2762925445811,6,upwind,4432,0.10182070164799334
8,3,148.2762925445811,12,downwind,4740,0.1699834664414054
8,3,148.2762925445811,12,crosswind,2484,0.15926691599793044
8,3,148.2762925445811,12,upwind,4431,0.10695415328988707
8,3,148.2762925445811,24,downwind,4735,0.04469815112460775
8,3,148.2762925445811,24,crosswind,2483,0.001588717390477247
8,3,148.2762925445811,24,upwind,4429,0.03233473290828409
0,3,158.74974074982836,3,downwind,3128,0.4362707371083293
0,3,158.74974074982836,3,crosswind,4772,0.2873049623960575
0,3,158.74974074982836,3,upwind,3697,0.15673057724773956
0,3,158.74974074982836,6,downwind,3130,0.49927712145642916
0,3,158.74974074982836,6,crosswind,4771,0.3600349591338587
0,3,158.74974074982836,6,upwind,3695,0.2059195229609445
0,3,158.74974074982836,12,downwind,3129,0.39794667674668716
0,3,158.74974074982836,12,crosswind,4767,0.32993537526721234
0,3,158.74974074982836,12,upwind,3695,0.23240236295811403
0,3,158.74974074982836,24,downwind,3129,0.14461546030713504
0,3,158.74974074982836,24,crosswind,4762,0.15428177819887792
0,3,158.74974074982836,24,upwind,3692,0.13561614411671943
3,4,125.90054307398253,3,downwind,4803,0.21444915187647723
3,4,125.90054307398253,3,crosswind,3463,0.22547783152194747
3,4,125.90054307398253,3,upwind,3395,0.06623213022964836
3,4,125.90054307398253,6,downwind,4804,0.24269413886640614
3,4,125.90054307398253,6,crosswind,3462,0.25884999818952525
3,4,125.90054307398253,6,upwind,3394,0.08184190269340678
3,4,125.90054307398253,12,downwind,4802,0.19200643402802056
3,4,125.90054307398253,12,crosswind,3461,0.241205446288095
3,4,125.90054307398253,12,upwind,3392,0.05978749330687968
3,4,125.90054307398253,24,downwind,4801,0.0810958231910004
3,4,125.90054307398253,24,crosswind,3459,0.15857390862331291
3,4,125.90054307398253,24,upwind,3387,0.028976859131532036
52,4,139.0074558677861,3,downwind,3837,0.3164609192824684
52,4,139.0074558677861,3,crosswind,2013,0.20400601946851377
52,4,139.0074558677861,3,upwind,5811,0.017670498914293366
52,4,139.0074558677861,6,downwind,3835,0.3477740352466029
52,4,139.0074558677861,6,crosswind,2014,0.22231234755178847
52,4,139.0074558677861,6,upwind,5811,0.007947744554689861
52,4,139.0074558677861,12,downwind,3831,0.29344304041518876
52,4,139.0074558677861,12,crosswind,2014,0.1944730136975167
52,4,139.0074558677861,12,upwind,5810,-0.00276948086545004
52,4,139.0074558677861,24,downwind,3824,0.16721872420904327
52,4,139.0074558677861,24,crosswind,2012,0.0911109666738737
52,4,139.0074558677861,24,upwind,5811,-0.0006014156634571875
70,4,178.65137874263348,3,downwind,3859,0.3374304372982044
70,4,178.65137874263348,3,crosswind,2146,0.207151167068749
70,4,178.65137874263348,3,upwind,5655,0.05189837262490592
70,4,178.65137874263348,6,downwind,3858,0.38003266434221084
70,4,178.65137874263348,6,crosswind,2146,0.24412045728103554
70,4,178.65137874263348,6,upwind,5655,0.03512716765306373
70,4,178.65137874263348,12,downwind,3854,0.33627545832717876
70,4,178.65137874263348,12,crosswind,2146,0.21850215508185775
70,4,178.65137874263348,12,upwind,5654,0.011177797853722943
70,4,178.65137874263348,24,downwind,3848,0.18396611860637274
70,4,178.65137874263348,24,crosswind,2144,0.1238578763243366
70,4,178.65137874263348,24,upwind,5654,0.015592514366721084
8,4,182.34308753380412,3,downwind,5272,0.23553830332887737
8,4,182.34308753380412,3,crosswind,3931,0.07813997152313232
8,4,182.34308753380412,3,upwind,2458,0.0454784691798323
8,4,182.34308753380412,6,downwind,5271,0.26792834440653385
8,4,182.34308753380412,6,crosswind,3931,0.09508278215912709
8,4,182.34308753380412,6,upwind,2458,0.05859196068415863
8,4,182.34308753380412,12,downwind,5270,0.2316463575124792
8,4,182.34308753380412,12,crosswind,3927,0.1005638285242481
8,4,182.34308753380412,12,upwind,2458,0.07229243610929581
8,4,182.34308753380412,24,downwind,5266,0.10713741961656684
8,4,182.34308753380412,24,crosswind,3924,0.044384140150095085
8,4,182.34308753380412,24,upwind,2457,-0.010690428669453935
129,4,196.345225765203,3,downwind,4395,0.29931388767956163
129,4,196.345225765203,3,crosswind,2244,0.22033000262647576
129,4,196.345225765203,3,upwind,5022,0.02257399375695281
129,4,196.345225765203,6,downwind,4394,0.3619805487059086
129,4,196.345225765203,6,crosswind,2245,0.23486951984556384
129,4,196.345225765203,6,upwind,5021,0.02654693107806233
129,4,196.345225765203,12,downwind,4391,0.3392694137179359
129,4,196.345225765203,12,crosswind,2243,0.18342160104556238
129,4,196.345225765203,12,upwind,5021,0.013129987196126536
129,4,196.345225765203,24,downwind,4381,0.2023826716740932
129,4,196.345225765203,24,crosswind,2245,0.12242785832263695
129,4,196.345225765203,24,upwind,5021,-0.022209383590560818
12,5,52.18104100961623,3,downwind,4298,0.32203847020875176
12,5,52.18104100961623,3,crosswind,1630,0.21430712350866324
12,5,52.18104100961623,3,upwind,5732,0.09834431926679035
12,5,52.18104100961623,6,downwind,4297,0.24857539210539617
12,5,52.18104100961623,6,crosswind,1629,0.24449264939914606
12,5,52.18104100961623,6,upwind,5733,0.11302935973648442
12,5,52.18104100961623,12,downwind,4294,0.08709650687883273
12,5,52.18104100961623,12,crosswind,1628,0.20042161090120356
12,5,52.18104100961623,12,upwind,5732,0.09804053440486414
12,5,52.18104100961623,24,downwind,4291,-0.0013174959689842103
12,5,52.18104100961623,24,crosswind,1627,0.11888615526458955
12,5,52.18104100961623,24,upwind,5728,0.0589821894174246
75,5,59.333673401097435,3,downwind,5578,0.27002652348628886
75,5,59.333673401097435,3,crosswind,1466,0.23162738993610854
75,5,59.333673401097435,3,upwind,4613,0.028028633496315063
75,5,59.333673401097435,6,downwind,5577,0.2066400363419885
75,5,59.333673401097435,6,crosswind,1467,0.2833163712822985
75,5,59.333673401097435,6,upwind,4612,0.02463583930675441
75,5,59.333673401097435,12,downwind,5576,0.07129806054772035
75,5,59.333673401097435,12,crosswind,1467,0.21527547155785842
75,5,59.333673401097435,12,upwind,4608,0.003959760557035922
75,5,59.333673401097435,24,downwind,5575,0.018414002033201832
75,5,59.333673401097435,24,crosswind,1463,0.10916287249768519
75,5,59.333673401097435,24,upwind,4605,-0.014400479757537794
143,5,93.45999842717292,3,downwind,5632,0.18037951479037803
143,5,93.45999842717292,3,crosswind,1238,0.17647441487617216
143,5,93.45999842717292,3,upwind,4788,0.02081167384209222
143,5,93.45999842717292,6,downwind,5632,0.19027845491517703
143,5,93.45999842717292,6,crosswind,1239,0.23782540577964645
143,5,93.45999842717292,6,upwind,4786,0.04491089434066111
143,5,93.45999842717292,12,downwind,5630,0.1019243803465345
143,5,93.45999842717292,12,crosswind,1239,0.19682891729937518
143,5,93.45999842717292,12,upwind,4783,0.06801421646399282
143,5,93.45999842717292,24,downwind,5630,0.01704891030172535
143,5,93.45999842717292,24,crosswind,1234,0.07431169481911885
143,5,93.45999842717292,24,upwind,4780,0.035459820421845804
145,5,105.56623081431525,3,downwind,5645,0.18143161341950986
145,5,105.56623081431525,3,crosswind,2688,0.06503944701746138
145,5,105.56623081431525,3,upwind,3328,0.041919229821418956
145,5,105.56623081431525,6,downwind,5645,0.20514229690202693
145,5,105.56623081431525,6,crosswind,2689,0.08760896326711703
145,5,105.56623081431525,6,upwind,3326,0.054741773559621634
145,5,105.56623081431525,12,downwind,5642,0.15524779828449317
145,5,105.56623081431525,12,crosswind,2690,0.08522089408825131
145,5,105.56623081431525,12,upwind,3323,0.06413134207766685
145,5,105.56623081431525,24,downwind,5637,0.04379984360864507
145,5,105.56623081431525,24,crosswind,2689,0.009575972250704282
145,5,105.56623081431525,24,upwind,3321,-0.004508577224098984
55,5,132.40972160138804,3,downwind,3188,0.19464861802338532
55,5,132.40972160138804,3,crosswind,6931,0.08920429792555577
55,5,132.40972160138804,3,upwind,1509,-0.016838904491350302
55,5,132.40972160138804,6,downwind,3189,0.2109531306297133
55,5,132.40972160138804,6,crosswind,6928,0.11155467431504011
55,5,132.40972160138804,6,upwind,1510,0.017272361567891373
55,5,132.40972160138804,12,downwind,3187,0.1614176259515405
55,5,132.40972160138804,12,crosswind,6924,0.10084406175864577
55,5,132.40972160138804,12,upwind,1511,0.03171956027892612
55,5,132.40972160138804,24,downwind,3182,0.051094400798748045
55,5,132.40972160138804,24,crosswind,6924,0.051483630910395324
55,5,132.40972160138804,24,upwind,1508,0.0038936777570051343
11,6,126.91099249424225,3,downwind,5944,0.11565080850535168
11,6,126.91099249424225,3,crosswind,2564,0.03493287959275374
11,6,126.91099249424225,3,upwind,3150,0.01308941752760695
11,6,126.91099249424225,6,downwind,5942,0.14820378022555153
11,6,126.91099249424225,6,crosswind,2566,0.059198699109824254
11,6,126.91099249424225,6,upwind,3149,0.013663960557686056
11,6,126.91099249424225,12,downwind,5943,0.12626336774732663
11,6,126.91099249424225,12,crosswind,2564,0.047827409037629234
11,6,126.91099249424225,12,upwind,3145,-0.02932270608323918
11,6,126.91099249424225,24,downwind,5938,0.027616811961799832
11,6,126.91099249424225,24,crosswind,2564,-0.012874705281987439
11,6,126.91099249424225,24,upwind,3142,-0.018451677479586773
2,6,127.4385723658937,3,downwind,3823,0.22920669201325145
2,6,127.4385723658937,3,crosswind,4129,0.16945901961175924
2,6,127.4385723658937,3,upwind,3707,0.07381153675478572
2,6,127.4385723658937,6,downwind,3822,0.27486093220688645
2,6,127.4385723658937,6,crosswind,4129,0.18273391437961262
2,6,127.4385723658937,6,upwind,3707,0.08822390760957287
2,6,127.4385723658937,12,downwind,3822,0.2202861845275826
2,6,127.4385723658937,12,crosswind,4126,0.14612738506941733
2,6,127.4385723658937,12,upwind,3705,0.08068945424919582
2,6,127.4385723658937,24,downwind,3823,0.10351667036603349
2,6,127.4385723658937,24,crosswind,4123,0.11681617700591808
2,6,127.4385723658937,24,upwind,3699,0.054116483272873474
9,6,128.26290158414463,3,downwind,3397,0.31024971164092974
9,6,128.26290158414463,3,crosswind,3371,0.22291275353796092
9,6,128.26290158414463,3,upwind,4882,0.04831393896601583
9,6,128.26290158414463,6,downwind,3396,0.331925147277238
9,6,128.26290158414463,6,crosswind,3370,0.24143236662360185
9,6,128.26290158414463,6,upwind,4883,0.09439161770482557
9,6,128.26290158414463,12,downwind,3392,0.21248506073701795
9,6,128.26290158414463,12,crosswind,3371,0.17662267299565648
9,6,128.26290158414463,12,upwind,4881,0.10227928695049396
9,6,128.26290158414463,24,downwind,3390,0.021761302723722918
9,6,128.26290158414463,24,crosswind,3365,0.03363337587275303
9,6,128.26290158414463,24,upwind,4881,0.013689041780097127
10,6,135.64672527655662,3,downwind,3678,0.1821865923084114
10,6,135.64672527655662,3,crosswind,5556,0.0835234928700234
10,6,135.64672527655662,3,upwind,2421,-0.023559803694416105
10,6,135.64672527655662,6,downwind,3678,0.1936541597551043
10,6,135.64672527655662,6,crosswind,5554,0.10837746207409348
10,6,135.64672527655662,6,upwind,2422,-0.028827260745978012
10,6,135.64672527655662,12,downwind,3678,0.11549789763011073
10,6,135.64672527655662,12,crosswind,5549,0.10418891299247612
10,6,135.64672527655662,12,upwind,2422,-0.041996908217246776
10,6,135.64672527655662,24,downwind,3672,0.04017916553556157
10,6,135.64672527655662,24,crosswind,5551,-0.006872097476626606
10,6,135.64672527655662,24,upwind,2418,-0.09227591266716018
0,6,151.85666506592253,3,downwind,3894,0.3831415114245264
0,6,151.85666506592253,3,crosswind,3667,0.2577582023768986
0,6,151.85666506592253,3,upwind,4034,0.07713936506292135
0,6,151.85666506592253,6,downwind,3893,0.4751494238683241
0,6,151.85666506592253,6,crosswind,3667,0.3155610715236183
0,6,151.85666506592253,6,upwind,4034,0.11179569648559959
0,6,151.85666506592253,12,downwind,3888,0.3879919814629694
0,6,151.85666506592253,12,crosswind,3667,0.3007837744491294
0,6,151.85666506592253,12,upwind,4034,0.14442177888386196
0,6,151.85666506592253,24,downwind,3886,0.06973656213814701
0,6,151.85666506592253,24,crosswind,3666,0.13971021905047873
0,6,151.85666506592253,24,upwind,4029,0.0560425351773732
127,7,150.2725924913059,3,downwind,6902,0.22274156562615205
127,7,150.2725924913059,3,crosswind,3456,0.2214911636703955
127,7,150.2725924913059,3,upwind,1071,0.1190976744987265
127,7,150.2725924913059,6,downwind,6902,0.2703619369308874
127,7,150.2725924913059,6,crosswind,3455,0.2704049511705998
127,7,150.2725924913059,6,upwind,1071,0.17262897430240623
127,7,150.2725924913059,12,downwind,6897,0.2677552178585138
127,7,150.2725924913059,12,crosswind,3457,0.3329698796242358
127,7,150.2725924913059,12,upwind,1069,0.16854074436032443
127,7,150.2725924913059,24,downwind,6899,0.14984341253782898
127,7,150.2725924913059,24,crosswind,3450,0.2639554774709631
127,7,150.2725924913059,24,upwind,1067,0.10059375702079508
0,7,152.13899420222296,3,downwind,4299,0.11655914817895022
0,7,152.13899420222296,3,crosswind,3745,0.12845681794938568
0,7,152.13899420222296,3,upwind,3551,0.15307736833578564
0,7,152.13899420222296,6,downwind,4298,0.14693080778044104
0,7,152.13899420222296,6,crosswind,3744,0.16808356414782927
0,7,152.13899420222296,6,upwind,3552,0.16310067390733365
0,7,152.13899420222296,12,downwind,4299,0.14109062734974837
0,7,152.13899420222296,12,crosswind,3739,0.14502238363065081
0,7,152.13899420222296,12,upwind,3551,0.14513931218227782
0,7,152.13899420222296,24,downwind,4296,0.05984572599374694
0,7,152.13899420222296,24,crosswind,3738,0.11136644919487292
0,7,152.13899420222296,24,upwind,3547,0.09460293050098077
66,7,155.58444870255892,3,downwind,6230,0.16887994084587843
66,7,155.58444870255892,3,crosswind,3174,0.2111469569889053
66,7,155.58444870255892,3,upwind,2251,0.1106262014092413
66,7,155.58444870255892,6,downwind,6230,0.22877643766658318
66,7,155.58444870255892,6,crosswind,3174,0.2514509678675646
66,7,155.58444870255892,6,upwind,2250,0.1725195141171072
66,7,155.58444870255892,12,downwind,6226,0.26280767032183594
66,7,155.58444870255892,12,crosswind,3175,0.2848725237178271
66,7,155.58444870255892,12,upwind,2248,0.24069707110349436
66,7,155.58444870255892,24,downwind,6229,0.14954195296195483
66,7,155.58444870255892,24,crosswind,3168,0.2407731810579211
66,7,155.58444870255892,24,upwind,2244,0.1776230865410968
9,7,209.56259436444313,3,downwind,3329,0.06073068410875394
