feature,lead_hour,distance_bin,bearing_source_to_target,edges,median_cross_r,median_partial_r,q25_partial_r,q75_partial_r
temperature,3,>=1600,E,91,0.4591142796257622,0.056332893123778864,0.04890912427031824,0.06245887633584034
temperature,3,>=1600,SE,86,0.37069485366989896,0.09096966338308458,0.06947532971010685,0.10118327283729782
temperature,3,>=1600,SW,227,0.34474065138850607,0.08277512527652882,0.07433824821470648,0.0946032448454141
temperature,3,>=1600,W,91,0.4678279815658185,0.09891573467462184,0.06012469614534323,0.11006375467496618
temperature,3,>=1600,NW,86,0.34230880675175,-0.001873069988879707,-0.017284489818792943,0.021639410430155468
temperature,6,<50,N,16,0.813055091222207,0.00291974675124012,-0.045206090432210605,0.12424024534695106
temperature,6,<50,NE,11,0.8103884580029265,0.0446212957147061,0.018862233667382308,0.0900282750283577
temperature,6,<50,E,12,0.823718155413582,0.04237825116766772,-0.033445081245277834,0.08268566991390866
temperature,6,<50,SE,11,0.8210336835253159,0.07581550150701005,0.02171379285970221,0.10833944706119954
temperature,6,<50,S,16,0.8235510974480577,0.09415625572838258,-0.005505713427544957,0.14188886424743502
temperature,6,<50,SW,11,0.8167337926952221,0.06364450357298508,0.053178092433089734,0.11183616882247881
temperature,6,<50,W,12,0.8217350729968826,0.09171563661555013,0.0304185496700764,0.16595668906819888
temperature,6,<50,NW,11,0.8124258161612822,0.05451803391004754,-0.018361139690246404,0.13235516266437639
temperature,6,50-100,N,51,0.7955661097282011,0.01804518679283809,-0.020912940127037316,0.08344770455062846
temperature,6,50-100,NE,53,0.8035154414455569,0.04045683919306394,-0.013280840829128409,0.09652682919194443
temperature,6,50-100,E,49,0.8128692258040975,0.08942892479914931,0.042951521112994405,0.12709775982254184
temperature,6,50-100,SE,58,0.814446167907191,0.13609211612046543,0.09772141281258967,0.19575288905314736
temperature,6,50-100,S,51,0.8163489345456929,0.17156889727859992,0.11171794359462267,0.23215878755073083
temperature,6,50-100,SW,53,0.8147377491039227,0.14907411937242834,0.09451077497879762,0.184361926731464
temperature,6,50-100,W,49,0.8051389676431548,0.09210806006670982,0.03956144911391889,0.1602253596147951
temperature,6,50-100,NW,58,0.7950257279679269,0.0452487737254475,0.006188749198256203,0.11906599136827706
temperature,6,100-200,N,189,0.7552790055816442,0.02200918894492271,-0.01858278842080796,0.08475943879829942
temperature,6,100-200,NE,176,0.7758191070950076,0.05409862736694425,0.006241631055621384,0.10352112019797058
temperature,6,100-200,E,178,0.7915256946918483,0.12044959259046392,0.08242942212401308,0.16975535511716947
temperature,6,100-200,SE,167,0.790506052541299,0.17324735501385705,0.13651960503349425,0.21255743752280223
temperature,6,100-200,S,189,0.7924101479617134,0.2014304594420259,0.16265391410441882,0.25477381789047693
temperature,6,100-200,SW,176,0.7951437235728576,0.17036486739740742,0.11569780049717622,0.22473822700349147
temperature,6,100-200,W,178,0.7793957568696506,0.08721317653560498,0.04323309056147688,0.1407602214400069
temperature,6,100-200,NW,167,0.7548988030770845,0.044315749808387594,0.0022007066856288794,0.10248347458264576
temperature,6,200-400,N,528,0.663503608229264,0.013251019908383739,-0.014410093052512816,0.05142065543070951
temperature,6,200-400,NE,525,0.7086644970235139,0.03730539053149463,0.0010325079860955154,0.07723546917820892
temperature,6,200-400,E,536,0.7420242258608777,0.14272350646372925,0.08386335395864906,0.17738599777060673
temperature,6,200-400,SE,526,0.7178327339900981,0.18860645583453078,0.15472686544556022,0.2088105095826664
temperature,6,200-400,S,528,0.7215742887731705,0.20722872003302373,0.1691586094850655,0.24081537018781093
temperature,6,200-400,SW,525,0.746127603210875,0.19200005552087998,0.14784959689388863,0.2240090075346216
temperature,6,200-400,W,536,0.7216812494945748,0.09121516773731358,0.04015243337444602,0.14601671292468368
temperature,6,200-400,NW,526,0.6686449199761961,0.0341826307862175,0.0019970031842282314,0.07658823457288819
temperature,6,400-800,N,1616,0.5170222643314265,0.010884542831449146,-0.010493157207263322,0.03668067156560806
temperature,6,400-800,NE,1311,0.5861859549536159,0.03314847119709533,0.009426416289409946,0.05922033674528866
temperature,6,400-800,E,1564,0.6273321288495792,0.11065059076484278,0.07241643765103167,0.14642291261643436
temperature,6,400-800,SE,1493,0.5852995069402019,0.15749816910437262,0.1293817087545145,0.18731005488874997
temperature,6,400-800,S,1616,0.5916798705976312,0.20051173997890104,0.16122241515641103,0.2246515854369997
temperature,6,400-800,SW,1311,0.6372352095636211,0.1839205849651065,0.144933911229062,0.21177436665860927
temperature,6,400-800,W,1564,0.6139254364292637,0.10536322949596688,0.06292182342109498,0.15305107905480758
temperature,6,400-800,NW,1493,0.5287802784024904,0.03215121774296471,0.009313309599432018,0.07317803796012029
temperature,6,800-1600,N,1293,0.3826532615260747,0.01357315451841112,-0.0025412971505736656,0.032764234099792
temperature,6,800-1600,NE,1807,0.37973262534630325,0.03287821057178998,0.019290067961794517,0.047538543463184944
temperature,6,800-1600,E,2485,0.4763369011423693,0.10546505999293306,0.07976113845475644,0.1263479800655461
temperature,6,800-1600,SE,1777,0.4706099558289172,0.1507260767445672,0.1281815870007311,0.17141069302510525
temperature,6,800-1600,S,1293,0.4525052186686256,0.16592160877001483,0.14706237466838423,0.18373863662667422
temperature,6,800-1600,SW,1807,0.4252751154785338,0.15042701632764666,0.11887709997414093,0.191420173914644
temperature,6,800-1600,W,2485,0.4740534133912169,0.12723031240325952,0.10061335942236155,0.15541349474226254
temperature,6,800-1600,NW,1777,0.4119434585682653,0.03330073879993835,0.008180764716558857,0.06032591236539683
temperature,6,>=1600,NE,227,0.3015395916703743,0.03532085882344791,0.017919437336142437,0.0522655920106017
temperature,6,>=1600,E,91,0.43775966534124716,0.09630198633633179,0.08699358768018711,0.1071592739127374
temperature,6,>=1600,SE,86,0.36982781444104296,0.14183911620282919,0.10927028406407441,0.15397057649510404
temperature,6,>=1600,SW,227,0.3459698900025679,0.12823215452372203,0.11650825650761967,0.14695333899495547
temperature,6,>=1600,W,91,0.453999857230544,0.14953131255245758,0.09475051224283201,0.1634903605630379
temperature,6,>=1600,NW,86,0.31388555837189525,0.0024472733794295353,-0.01621722552460075,0.035532448610246264
temperature,12,<50,N,16,0.6588951078496081,0.004666962233309909,-0.0768737354222529,0.19728620999750818
temperature,12,<50,NE,11,0.660122534785431,0.04067718175989954,0.006482440398586764,0.11022788988624946
temperature,12,<50,E,12,0.6756908898841383,0.04528876136455576,-0.0314196753875405,0.06909729889542149
temperature,12,<50,SE,11,0.6760414413975427,0.0793404093202189,0.0070167567795995645,0.1303734798416516
temperature,12,<50,S,16,0.6723833393420757,0.05914615658874975,-0.10138092583967524,0.15233103811306775
temperature,12,<50,SW,11,0.6656519883277866,0.05812734455107842,-0.004345895511090799,0.08362997662294175
temperature,12,<50,W,12,0.6748104162165994,0.0630540296015972,0.01900228981903989,0.14218281899694257
temperature,12,<50,NW,11,0.6613948895545237,0.04301941181971986,-0.03272676057732751,0.09718548280799139
temperature,12,50-100,N,51,0.6485712516618903,0.012351851116684498,-0.0400894037947393,0.09705980053309382
temperature,12,50-100,NE,53,0.659438636244849,0.019425055174115555,-0.023568323244555954,0.08813967378885124
temperature,12,50-100,E,49,0.6671695357012767,0.07690145412836095,0.005383502152311596,0.11183129081305933
temperature,12,50-100,SE,58,0.6732602622462808,0.12025183342992132,0.03655209857353173,0.18732423829297157
temperature,12,50-100,S,51,0.6746092236413602,0.14818401508141807,0.07069399914169758,0.220948103043057
temperature,12,50-100,SW,53,0.669692150799506,0.13193934875687446,0.07912825061898933,0.18335677232228964
temperature,12,50-100,W,49,0.6545861896355657,0.07938899682349049,0.021873079731214974,0.16971525645936303
temperature,12,50-100,NW,58,0.6471027213699652,0.036638042264338824,-0.019854518872103988,0.13417731459261487
temperature,12,100-200,N,189,0.6152245957830997,0.025582953934437064,-0.02961919162587754,0.08105191288723013
temperature,12,100-200,NE,176,0.6379542997503469,0.045872654808206556,-0.006183404385899412,0.09833399579703148
temperature,12,100-200,E,178,0.6597475873414782,0.1148623571322614,0.06210895150901165,0.17082097610764194
temperature,12,100-200,SE,167,0.6633438487739272,0.16604608445976057,0.1101671669971796,0.21099381222218053
temperature,12,100-200,S,189,0.663198023656998,0.19469297767517715,0.13839215717341474,0.24529737242789715
temperature,12,100-200,SW,176,0.6580317477639104,0.15495029061474935,0.10201436196208093,0.2233964896450099
temperature,12,100-200,W,178,0.6362576749810509,0.07888830650326686,0.023074537200567975,0.147538406246065
temperature,12,100-200,NW,167,0.615676288585322,0.04174366290779145,-0.010425146710238385,0.10217886792541989
temperature,12,200-400,N,528,0.5466380926499004,0.018837692285673384,-0.014254524736769853,0.05355382548221698
temperature,12,200-400,NE,525,0.5922744794878833,0.04071437036121176,0.0036050879785354934,0.08763969168962114
temperature,12,200-400,E,536,0.6321266513557311,0.1475338923052989,0.0785609028966815,0.19368558941632769
temperature,12,200-400,SE,526,0.6271101132529224,0.21255431882473697,0.16664025033203647,0.24229306740150464
temperature,12,200-400,S,528,0.6308514421811102,0.234352357659731,0.18850333133122682,0.2642295721069558
temperature,12,200-400,SW,525,0.6357733059836869,0.19574476151633521,0.14509437529731375,0.2468981410067761
temperature,12,200-400,W,536,0.5943689105083696,0.09271792969116457,0.03509894434317161,0.16563145493327414
temperature,12,200-400,NW,526,0.5482857533163024,0.03268901738833458,-0.0002928560815117795,0.09230929704635467
temperature,12,400-800,N,1616,0.4326273033444361,0.014861073144241576,-0.009450382198228146,0.04508481952591491
temperature,12,400-800,NE,1311,0.5011900760576723,0.042373082509487334,0.015186388836426035,0.07474638854965658
temperature,12,400-800,E,1564,0.5597732294678821,0.14623741456824063,0.08813439245543193,0.19581028787833904
temperature,12,400-800,SE,1493,0.5459915584968887,0.21924439765538162,0.1833448694132554,0.2536319618523323
temperature,12,400-800,S,1616,0.5621008558466732,0.2588893437336526,0.2156945023469242,0.29809844402210556
temperature,12,400-800,SW,1311,0.5779479411465601,0.2193822282387475,0.16772140014958406,0.26266806407252474
temperature,12,400-800,W,1564,0.5231160771574244,0.12184433394536753,0.06825316492000347,0.18208158420673184
temperature,12,400-800,NW,1493,0.4394475164288796,0.03450156927576405,0.005602193505164703,0.08129107035859472
temperature,12,800-1600,N,1293,0.32519160988094453,0.01805242410413309,-0.0014653237384077329,0.037661048120740434
temperature,12,800-1600,NE,1807,0.3303855231779798,0.04378890416957245,0.026407131748380976,0.06490660428360454
temperature,12,800-1600,E,2485,0.44569747031902435,0.14963018827793784,0.11712900377715738,0.1851886983203529
temperature,12,800-1600,SE,1777,0.4681502874133297,0.2222303591874632,0.19152456411292934,0.2519672530420975
temperature,12,800-1600,S,1293,0.4569925362219903,0.23975579689107648,0.2116318998710037,0.26021892993812556
temperature,12,800-1600,SW,1807,0.41518003041269036,0.20619213281121704,0.1671906841049582,0.25523644402876244
temperature,12,800-1600,W,2485,0.4378886096737802,0.16165536153383994,0.12624761671538431,0.1991721276136042
temperature,12,800-1600,NW,1777,0.3472211997539934,0.035661290352377355,0.006943364295958387,0.06884929027783653
temperature,12,>=1600,NE,227,0.2680677300146817,0.04453895291083652,0.022325215375659686,0.06678044382113207
temperature,12,>=1600,E,91,0.4114364207632075,0.1481944185996033,0.13090068994010456,0.16239562482481268
temperature,12,>=1600,SE,86,0.3808532022055157,0.2135585966055442,0.17579967629969717,0.22880424686467324
temperature,12,>=1600,SW,227,0.34860810029308226,0.18152579790693996,0.16390461644533863,0.20752860793660716
temperature,12,>=1600,W,91,0.43090404027801466,0.19013909981859345,0.12256191752668541,0.2090166069663365
temperature,12,>=1600,NW,86,0.2640945473892363,-0.0008008138254012864,-0.019343935902107954,0.03530759832145576
temperature,24,<50,N,16,0.6473813706475734,-0.02110432968402237,-0.04733086745211024,0.06964724742290487
temperature,24,<50,NE,11,0.6573461035975974,0.08693164606225443,0.06085839426366261,0.09198951420827399
temperature,24,<50,E,12,0.6530387353171114,0.12065981750998063,0.04674156158499699,0.14987364726610106
temperature,24,<50,SE,11,0.667793218086581,0.10218424303825603,0.06524068379550996,0.174465378170999
temperature,24,<50,S,16,0.6659377249632167,0.10240210833291155,-0.00438079932285673,0.13353464121109304
temperature,24,<50,SW,11,0.65704887296083,0.0244572810290879,-0.009906761296411085,0.045523808544163935
temperature,24,<50,W,12,0.630543313093659,-0.028526504262723316,-0.05391311729232319,0.034215052659989365
temperature,24,<50,NW,11,0.6411619601178437,-0.028280151247969978,-0.0867886233802448,0.020958436002382095
temperature,24,50-100,N,51,0.6218668404911603,-0.0061432900428997845,-0.05600283110056208,0.03985540033635086
temperature,24,50-100,NE,53,0.6399312549378018,0.06007141243394219,-0.0006216346181073314,0.10688936258190951
temperature,24,50-100,E,49,0.656291140469409,0.13846847588112232,0.0714558263785701,0.19363358694836783
temperature,24,50-100,SE,58,0.6697033598219195,0.19202671242820835,0.11901899652956209,0.2370588363386903
temperature,24,50-100,S,51,0.6614409414088921,0.16908081039525621,0.10327503509599978,0.20981016817044024
temperature,24,50-100,SW,53,0.6497790328000863,0.08502514726143352,0.04241015437369221,0.13912033006595942
temperature,24,50-100,W,49,0.6321359752629051,0.006372830606954088,-0.05736792096538211,0.06745198015575886
temperature,24,50-100,NW,58,0.6259682264345514,-0.03899464991705766,-0.07754369478677478,0.05532696579676313
temperature,24,100-200,N,189,0.5874182654665775,0.006366036186803772,-0.03203028951913775,0.04556228149156812
temperature,24,100-200,NE,176,0.6175963332293155,0.07807065805677424,0.03438643854759907,0.13469032603878897
temperature,24,100-200,E,178,0.6621862891465367,0.21123793647881903,0.156137741599267,0.2476612490913747
temperature,24,100-200,SE,167,0.6754081986551986,0.25163720511748666,0.18982286622825872,0.30462210640892673
temperature,24,100-200,S,189,0.662820027467696,0.21930934342280714,0.16834498430944092,0.25951637999661364
temperature,24,100-200,SW,176,0.6378406102897757,0.13496108465099643,0.07585695806191883,0.16868642560184818
temperature,24,100-200,W,178,0.6085944646124524,-0.007472993962269183,-0.051685191021459055,0.07188947402394306
temperature,24,100-200,NW,167,0.5884231355539875,-0.02964621498040559,-0.07183214949106928,0.03559120904719559
temperature,24,200-400,N,528,0.5065006468555406,0.002266836368617236,-0.03791161793000955,0.03577655454378142
temperature,24,200-400,NE,525,0.5689210608647094,0.08125982687568842,0.04018578552118202,0.13797442186107
temperature,24,200-400,E,536,0.6489573964485271,0.2542419671130466,0.17473099948675933,0.3166472617798773
temperature,24,200-400,SE,526,0.6710220667547535,0.32587688479046223,0.2518629346564111,0.36651858027998335
temperature,24,200-400,S,528,0.6563164393253831,0.2895814501633067,0.23755733693301237,0.33038875763255354
temperature,24,200-400,SW,525,0.6215425302233802,0.18122844781596642,0.12750981407786394,0.22657077515226035
temperature,24,200-400,W,536,0.5603221510663569,0.02663952220542242,-0.03752664219512113,0.09040389217290273
temperature,24,200-400,NW,526,0.5120832262839848,-0.02835615676419593,-0.06416941785452003,0.04146043436824941
temperature,24,400-800,N,1616,0.38556212379305543,-0.004881101291462062,-0.03180130907447983,0.02719895899808705
temperature,24,400-800,NE,1311,0.4754319661013266,0.0763561075922037,0.03573075115609216,0.13401914680422072
temperature,24,400-800,E,1564,0.5952938953365657,0.27329820019222795,0.18400082726631967,0.35071664522703583
temperature,24,400-800,SE,1493,0.6226166778652303,0.37086830749736016,0.3327419910117045,0.39597308030779665
temperature,24,400-800,S,1616,0.604618955045274,0.337148412614932,0.2998769128373062,0.37024107127640965
temperature,24,400-800,SW,1311,0.5654258423411594,0.21729187119044827,0.1694346797578763,0.25591796911093645
temperature,24,400-800,W,1564,0.48824189446061683,0.07330924641023899,0.01011122989269048,0.12728396986237894
temperature,24,400-800,NW,1493,0.40003412760717855,-0.019502924126368146,-0.039058919525154584,0.021137699902825186
temperature,24,800-1600,N,1293,0.2703700582463041,-0.016646213371906717,-0.03822466061402924,0.005660857063048118
temperature,24,800-1600,NE,1807,0.30838810475586487,0.045042572609236484,0.020345672723288168,0.07579436709715176
temperature,24,800-1600,E,2485,0.49081552207279794,0.2333043398877236,0.17106793968813092,0.3182370772755927
temperature,24,800-1600,SE,1777,0.5598752595970736,0.36804016946315177,0.3415671936599229,0.3884482907053467
temperature,24,800-1600,S,1293,0.5123300065133678,0.3144427650366471,0.2902601924180074,0.34473389529173953
temperature,24,800-1600,SW,1807,0.43799634014062666,0.2181406059882484,0.18688469320837808,0.2598906803206088
temperature,24,800-1600,W,2485,0.42505923043526583,0.1315296928627484,0.07468073293673395,0.17470335802115025
temperature,24,800-1600,NW,1777,0.30440959453619487,-0.007922071243245852,-0.02661294199322841,0.015125713695017761
temperature,24,>=1600,NE,227,0.2239565833617739,0.016715732017402406,-0.0007044726236492087,0.05134649443992727
temperature,24,>=1600,E,91,0.45712185427792956,0.20368665189956386,0.1750638239724746,0.2872212808761379
temperature,24,>=1600,SE,86,0.4799341289717224,0.3483614652949827,0.32122700555645345,0.37050492491034426
temperature,24,>=1600,SW,227,0.3582361413983861,0.18928779180072022,0.1704278659942433,0.2105734856426152
temperature,24,>=1600,W,91,0.4411885291393056,0.19808092833040428,0.09388124041187879,0.20896596773478213
temperature,24,>=1600,NW,86,0.22965972065092077,-0.02327969613070877,-0.03148700074977224,0.012589038650592323
temperature,0,<50,all,50,0.9880543840169345,,,
temperature,0,50-100,all,211,0.9638731578923974,,,
temperature,0,100-200,all,710,0.918787565990586,,,
temperature,0,200-400,all,2115,0.8236513809720957,,,
temperature,0,400-800,all,5984,0.6565255622657697,,,
temperature,0,800-1600,all,7362,0.48435996423201155,,,
temperature,0,>=1600,all,404,0.3612095326547028,,,
pressure,3,<50,N,16,0.9841067922923474,-0.1335348122306637,-0.27647132284815834,-0.04346101481353512
pressure,3,<50,NE,11,0.985251376255341,0.20245817861560592,0.06973763837773214,0.2360098814887791
pressure,3,<50,E,12,0.9863239552487623,0.32444731696339524,0.15918698521955923,0.38400762951043216
pressure,3,<50,SE,11,0.9870277285473174,0.38354782625194833,0.31737771617453614,0.390216109436369
pressure,3,<50,S,16,0.9861422713270023,0.17287538732367108,0.06724049800004096,0.31870062964463974
pressure,3,<50,SW,11,0.9837873930947315,-0.13465146858673943,-0.19177994479675953,-0.031086247100984517
pressure,3,<50,W,12,0.9820454566260696,-0.28766253451700224,-0.35339476646671525,-0.10725883900197386
pressure,3,<50,NW,11,0.98077529273132,-0.31670261518621745,-0.354848924824375,-0.27727937659861546
pressure,3,50-100,N,51,0.97870294611514,-0.20953429538228918,-0.3166372183152101,-0.03670533907839639
pressure,3,50-100,NE,53,0.9836388008272625,0.05990789692019544,-0.11267587346463195,0.2357425467348775
pressure,3,50-100,E,49,0.9864759559812235,0.36217386602279705,0.2296300425342469,0.40440214880573067
pressure,3,50-100,SE,58,0.9871530191954185,0.4096949410485883,0.3399859460048292,0.43529028491797206
pressure,3,50-100,S,51,0.9854284928664142,0.28950000461221986,0.12163992469534195,0.39219157287825623
pressure,3,50-100,SW,53,0.9819086422252582,-0.001999232180689172,-0.1596590544235629,0.18677157301908542
pressure,3,50-100,W,49,0.9772510947398126,-0.31060127204240584,-0.3425883972691077,-0.15043297335010694
pressure,3,50-100,NW,58,0.9752871815554021,-0.3359440169791222,-0.3649739502284665,-0.26391954287715236
pressure,3,100-200,N,189,0.9610121091774735,-0.22289021476880763,-0.32504881161743016,-0.13367929074225407
pressure,3,100-200,NE,176,0.9741456756538016,0.0637508786186472,-0.12028312139253551,0.18549271536344783
pressure,3,100-200,E,178,0.9801159170037452,0.3867930085757257,0.2530721133576223,0.4302911427133682
pressure,3,100-200,SE,167,0.9810385323295251,0.42189259230151877,0.37470732282824815,0.45452125452709147
pressure,3,100-200,S,189,0.9781498526544038,0.3297418155760431,0.24027278135511265,0.43504518565591044
pressure,3,100-200,SW,176,0.9735679923954723,0.03351030405588864,-0.10319045387430306,0.1950206740748509
pressure,3,100-200,W,178,0.9606844167563382,-0.29342051187174567,-0.34575087506020163,-0.15513127923027883
pressure,3,100-200,NW,167,0.9563949620961452,-0.32459035058424274,-0.3565642077022363,-0.2717490078345839
pressure,3,200-400,N,528,0.9053861706307411,-0.2597930155878089,-0.32659258811100605,-0.16712755327749637
pressure,3,200-400,NE,525,0.938869579565469,-0.007985982973388487,-0.1460115736938977,0.11590767701299372
pressure,3,200-400,E,536,0.9556082807180457,0.35404217729563436,0.24392324220980033,0.4196589718014623
pressure,3,200-400,SE,526,0.9453177550478681,0.4247283778667511,0.3832467633538462,0.45708500006441244
pressure,3,200-400,S,528,0.9436638612371478,0.3613364953651488,0.26540112822522344,0.45104701077997955
pressure,3,200-400,SW,525,0.9459807036180534,0.09863717925189498,-0.01705730555059463,0.24761537589086882
pressure,3,200-400,W,536,0.9248635838393376,-0.24412511589825,-0.3138537878658013,-0.13410871911351185
pressure,3,200-400,NW,526,0.9010067434042142,-0.31816480083242626,-0.34589857509080735,-0.27561982447497585
pressure,3,400-800,N,1616,0.7693227388361945,-0.2501990602429417,-0.3052754623446578,-0.16156034400361924
pressure,3,400-800,NE,1311,0.8359377969710017,-0.07008170590837116,-0.18699827397607494,0.03719226966392197
pressure,3,400-800,E,1564,0.8653681158374873,0.2769025883866355,0.1920377049453283,0.3491971159051157
pressure,3,400-800,SE,1493,0.8298136692421872,0.39142263710529135,0.36510662603169713,0.4326273972095178
pressure,3,400-800,S,1616,0.8272242504392768,0.3443369909465787,0.2391946041024808,0.4410654472763635
pressure,3,400-800,SW,1311,0.8576131499987617,0.1531600702596787,0.042756042595827784,0.28318589905355274
pressure,3,400-800,W,1564,0.8286553490742503,-0.17077683400567603,-0.2454889486609602,-0.09110468322259385
pressure,3,400-800,NW,1493,0.7563331706716254,-0.2859792540538353,-0.30327556899839153,-0.26717372268798384
pressure,3,800-1600,N,1293,0.567768839048003,-0.2280362194638069,-0.26132012276710126,-0.18119124836330125
pressure,3,800-1600,NE,1807,0.5904778481679676,-0.10339756409614177,-0.15847709643275365,-0.054914962234646494
pressure,3,800-1600,E,2485,0.6493929831499629,0.1571498079548819,0.09412566981585703,0.22256915221629983
pressure,3,800-1600,SE,1777,0.6255804341626968,0.336483152233998,0.2985466640134212,0.3719409412020926
pressure,3,800-1600,S,1293,0.6453765632476137,0.3153530503508631,0.25081297677719583,0.3882574876054759
pressure,3,800-1600,SW,1807,0.6284040938567138,0.1652110659968115,0.11603696237229422,0.23279361628236012
pressure,3,800-1600,W,2485,0.6220780807885811,-0.06510655943552596,-0.11383736692094638,-0.01859663116216891
pressure,3,800-1600,NW,1777,0.5451952705248644,-0.2274331457589698,-0.25567728518848876,-0.18564184093257927
pressure,3,>=1600,NE,227,0.3744184224600538,-0.09264595659761891,-0.1363753040991234,-0.050943928312935136
pressure,3,>=1600,E,91,0.5705132028397488,0.1269630493245455,0.09479226162434118,0.15211827143648948
