feature,year,lead_hour,distance_range_km,bearing_source_to_target,edges,median_partial_r
temperature,2017,6,100-800,SE,2186,0.14801093898823564
temperature,2017,6,100-800,S,2333,0.1801095796086399
temperature,2017,6,100-800,SW,2012,0.16507919019687256
temperature,2017,6,100-800,W,2278,0.08155947627900875
temperature,2017,6,100-800,NW,2186,0.012706665937450703
temperature,2018,6,100-800,N,2333,0.018206278108693005
temperature,2018,6,100-800,NE,2012,0.03134372710025919
temperature,2018,6,100-800,E,2278,0.11258988299393971
temperature,2018,6,100-800,SE,2186,0.18001406221096378
temperature,2018,6,100-800,S,2333,0.2198218746282188
temperature,2018,6,100-800,SW,2012,0.19757886465216812
temperature,2018,6,100-800,W,2278,0.11681339972936033
temperature,2018,6,100-800,NW,2186,0.040130099526772635
rh950,2015,6,100-800,N,2333,0.06787884477081302
rh950,2015,6,100-800,NE,2012,0.18808877277076827
rh950,2015,6,100-800,E,2278,0.25827054649445136
rh950,2015,6,100-800,SE,2186,0.24057649799290626
rh950,2015,6,100-800,S,2333,0.1822861747263868
rh950,2015,6,100-800,SW,2012,0.08610439088830733
rh950,2015,6,100-800,W,2278,0.035230531377403104
rh950,2015,6,100-800,NW,2186,0.02149258095706099
rh950,2016,6,100-800,N,2333,0.07722096075566576
rh950,2016,6,100-800,NE,2012,0.1740862699041983
rh950,2016,6,100-800,E,2278,0.2451154053944482
rh950,2016,6,100-800,SE,2186,0.2224277886416779
rh950,2016,6,100-800,S,2333,0.1488448640197937
rh950,2016,6,100-800,SW,2012,0.07398272659029873
rh950,2016,6,100-800,W,2278,0.02556324884375186
rh950,2016,6,100-800,NW,2186,0.03213729281296142
rh950,2017,6,100-800,N,2333,0.0977734146421823
rh950,2017,6,100-800,NE,2012,0.18418709683865095
rh950,2017,6,100-800,E,2278,0.24917286581686843
rh950,2017,6,100-800,SE,2186,0.22710359833262947
rh950,2017,6,100-800,S,2333,0.17241509554152726
rh950,2017,6,100-800,SW,2012,0.09539907134279796
rh950,2017,6,100-800,W,2278,0.04320924626298657
rh950,2017,6,100-800,NW,2186,0.05337347271364801
rh950,2018,6,100-800,N,2333,0.07190185239561706
rh950,2018,6,100-800,NE,2012,0.167962836030266
rh950,2018,6,100-800,E,2278,0.23688171849710632
rh950,2018,6,100-800,SE,2186,0.21578102577527625
rh950,2018,6,100-800,S,2333,0.16095632747035907
rh950,2018,6,100-800,SW,2012,0.09369063933299733
rh950,2018,6,100-800,W,2278,0.03434975402190803
rh950,2018,6,100-800,NW,2186,0.021288079421630184
wind_speed,2015,6,100-800,N,2333,0.028329042055287582
wind_speed,2015,6,100-800,NE,2012,0.09687830176330825
wind_speed,2015,6,100-800,E,2278,0.1826294658003924
wind_speed,2015,6,100-800,SE,2186,0.18846833226554924
wind_speed,2015,6,100-800,S,2333,0.12508765878495168
wind_speed,2015,6,100-800,SW,2012,0.1054668681054183
wind_speed,2015,6,100-800,W,2278,0.04080032250580789
wind_speed,2015,6,100-800,NW,2186,0.01172559369063612
wind_speed,2016,6,100-800,N,2333,0.023333773970839532
wind_speed,2016,6,100-800,NE,2012,0.09878798920497373
wind_speed,2016,6,100-800,E,2278,0.20259891109007944
wind_speed,2016,6,100-800,SE,2186,0.1750019282078192
wind_speed,2016,6,100-800,S,2333,0.1491324739438801
wind_speed,2016,6,100-800,SW,2012,0.11884679599734883
wind_speed,2016,6,100-800,W,2278,0.04171795560860415
wind_speed,2016,6,100-800,NW,2186,0.011883618990976397
wind_speed,2017,6,100-800,N,2333,0.01612365081339399
wind_speed,2017,6,100-800,NE,2012,0.07343918469707295
wind_speed,2017,6,100-800,E,2278,0.1799720254676499
wind_speed,2017,6,100-800,SE,2186,0.17877541009615067
wind_speed,2017,6,100-800,S,2333,0.12877359493688872
wind_speed,2017,6,100-800,SW,2012,0.10928289888297182
wind_speed,2017,6,100-800,W,2278,0.023453713630840388
wind_speed,2017,6,100-800,NW,2186,-0.0038072673030925814
wind_speed,2018,6,100-800,N,2333,0.0321196967615065
wind_speed,2018,6,100-800,NE,2012,0.08038397163317382
wind_speed,2018,6,100-800,E,2278,0.1767659610257788
wind_speed,2018,6,100-800,SE,2186,0.15919752060214187
wind_speed,2018,6,100-800,S,2333,0.12401838147863838
wind_speed,2018,6,100-800,SW,2012,0.11190237130201006
wind_speed,2018,6,100-800,W,2278,0.03941559045027705
wind_speed,2018,6,100-800,NW,2186,0.024914520617685086
