feature,representation,lead_hour,median,q25,q75,stations
rh950,local_after_top3,3,0.8442600685135293,0.803559862248304,0.8726189900990109,184
rh950,total,24,0.5109719387747511,0.446577186154159,0.560171514572805,184
rh950,regional_top3,24,0.6564168034196614,0.5836541282101337,0.6900508110341373,184
rh950,local_after_top3,24,0.20755469292763562,0.1644623732583212,0.2805266176979508,184
rh950,total,48,0.25313468234970804,0.19818641602395753,0.2957291253983773,184
rh950,regional_top3,48,0.3347887776446681,0.27227382116824733,0.3728328473714512,184
rh950,local_after_top3,48,0.07881423134621258,0.052227416853874,0.11693469093029893,184
rh950,total,72,0.1483841533582738,0.1100134061891254,0.18420773056696182,184
rh950,regional_top3,72,0.1922432910077107,0.1650678092284401,0.23552792823478397,184
rh950,local_after_top3,72,0.04665127369225777,0.02550911604083681,0.07126033470092358,184
wind_speed,total,3,0.8166150966856099,0.7855479665414308,0.8424876736712936,184
wind_speed,regional_top3,3,0.9328365270830901,0.9278983693462974,0.9383761914250224,184
wind_speed,local_after_top3,3,0.6965338032938999,0.668385920122909,0.7380731046874058,184
wind_speed,total,24,0.2048330073745506,0.14344709353323415,0.27197234578506135,184
wind_speed,regional_top3,24,0.328215314567234,0.2813984759990151,0.379627863555149,184
wind_speed,local_after_top3,24,0.0911046116491839,0.06676565296288639,0.11834497148313292,184
wind_speed,total,48,0.03416138362514323,0.011574543221339346,0.05508606139576151,184
wind_speed,regional_top3,48,0.06569826638895024,0.036369438650789336,0.0834838686286428,184
wind_speed,local_after_top3,48,0.004649118553997508,-0.00934327053124347,0.020879225607303528,184
wind_speed,total,72,-0.012417506249818747,-0.025437938958529294,0.003829149005920792,184
wind_speed,regional_top3,72,-0.015303216032105512,-0.04322565846506212,0.0025283789046995834,184
wind_speed,local_after_top3,72,-0.006888925096792243,-0.018777100655945428,0.004777764119910492,184
wind_u,total,3,0.8866445923807529,0.8480495565786694,0.9119075688989143,184
wind_u,regional_top3,3,0.961673133847081,0.9572022068414878,0.9668783208644222,184
wind_u,local_after_top3,3,0.7466508460978931,0.7193679162587485,0.786915333886798,184
wind_u,total,24,0.28796844408697625,0.22185466160160475,0.32952254743653336,184
wind_u,regional_top3,24,0.373384469624953,0.3214618860558295,0.42857963102397373,184
wind_u,local_after_top3,24,0.10418582600565746,0.07334380976178648,0.14894611554649692,184
wind_u,total,48,0.0412017944100877,0.02027914364041502,0.06084280144156466,184
wind_u,regional_top3,48,0.04108620018373266,0.02033052487541978,0.07297220026431905,184
wind_u,local_after_top3,48,0.020525230826820496,0.004737407706713232,0.042981727909021716,184
wind_u,total,72,-0.027529437524864885,-0.046956026835902456,0.0020860636198489543,184
wind_u,regional_top3,72,-0.04076995375530762,-0.05589433042454101,-0.026756947688958664,184
wind_u,local_after_top3,72,0.0038804487621836078,-0.0065226628256465045,0.017052371293949042,184
wind_v,total,3,0.903010738500831,0.8575154317368807,0.9177027671296167,184
wind_v,regional_top3,3,0.9621384491792596,0.9527200896102764,0.9673162509224408,184
wind_v,local_after_top3,3,0.7733311970174127,0.7315102606515713,0.8140087913413981,184
wind_v,total,24,0.2081421774991727,0.15486938911448705,0.2886953728783933,184
wind_v,regional_top3,24,0.2793519578416783,0.20623677099602616,0.3634440542331334,184
wind_v,local_after_top3,24,0.1043149882849626,0.07194224678190272,0.16455438056097565,184
wind_v,total,48,0.002089766611844177,-0.030754976595202713,0.02969704359854908,184
wind_v,regional_top3,48,-0.005625068203336419,-0.07244032333789847,0.036457105178737625,184
wind_v,local_after_top3,48,0.02733470830925933,0.011041817718482177,0.04441547575343989,184
wind_v,total,72,-0.009761279884009343,-0.03873521788443237,0.0010045170062954925,184
wind_v,regional_top3,72,-0.03110408771414305,-0.059566721870238495,-0.008437350212501624,184
wind_v,local_after_top3,72,0.009330318413907464,-0.003977005183985664,0.026811744397524973,184
pbl,total,3,0.5908994822024678,0.5596798730639677,0.6300570670888447,184
pbl,regional_top3,3,0.6909906091600297,0.6615515026189455,0.7116428115204654,184
pbl,local_after_top3,3,0.5009535646720767,0.46827495268226127,0.5545154316264832,184
pbl,total,24,0.358343680667618,0.31281831312607034,0.3879256430787561,184
pbl,regional_top3,24,0.4824279880214101,0.4177747521541641,0.5238568172832153,184
pbl,local_after_top3,24,0.20439580164736176,0.18329203333116,0.244751990184249,184
pbl,total,48,0.14211203441073528,0.11123677809950355,0.16205041553417854,184
pbl,regional_top3,48,0.17425838247669106,0.15232937529515372,0.21231741899548845,184
pbl,local_after_top3,48,0.08800528109772286,0.068256553588903,0.11550591166587669,184
pbl,total,72,0.07535628552342738,0.054110777844795524,0.10112369934139306,184
pbl,regional_top3,72,0.0949090386423189,0.06958714266129414,0.11707257292531142,184
pbl,local_after_top3,72,0.056161763164409025,0.03741997759843121,0.07861834575103288,184
