representation,past_feature,future_feature,median,q25,q75
anomaly,rh950_percent,wind_speed_ms,0.00847350702358732,-0.03521121605694846,0.05716012155747201
anomaly,rh950_percent,wind_u_ms,0.011072543461329559,-0.04858487379580648,0.0648766815832676
anomaly,rh950_percent,wind_v_ms,-0.18136290092157814,-0.2406096988091754,-0.08684237821789946
anomaly,wind_speed_ms,temperature_c,-0.1648466868097594,-0.2317075974508022,-0.08888478284266269
anomaly,wind_speed_ms,pressure_hpa,0.05374500256077252,0.013657975188064293,0.12522206782797984
anomaly,wind_speed_ms,rh950_percent,-0.03296684324289275,-0.09489486511683203,0.03416871150150083
anomaly,wind_speed_ms,wind_speed_ms,0.09614754444814788,0.05194976857487205,0.1308126994438501
anomaly,wind_speed_ms,wind_u_ms,0.050163209822564295,0.010528735911750863,0.07791076457627283
anomaly,wind_speed_ms,wind_v_ms,-0.0376464665843345,-0.07733969765246805,0.006416681669992219
anomaly,wind_u_ms,temperature_c,0.16446007042086844,0.0779262859881064,0.2376529265712416
anomaly,wind_u_ms,pressure_hpa,-0.0735681626551036,-0.14632202037845707,-0.004209749709092741
anomaly,wind_u_ms,rh950_percent,-0.2925487707009947,-0.35234439941091855,-0.22028054871851457
anomaly,wind_u_ms,wind_speed_ms,-0.023407189327856057,-0.10293362692773121,0.06976560105578125
anomaly,wind_u_ms,wind_u_ms,0.07036640074711231,0.04397922528045923,0.13329876639859042
anomaly,wind_u_ms,wind_v_ms,0.16633969249818759,0.06697688032283444,0.23411769755931572
anomaly,wind_v_ms,temperature_c,0.32383333291857863,0.23607601603145711,0.36974861027984973
anomaly,wind_v_ms,pressure_hpa,-0.24747650594159806,-0.2870319385280538,-0.18974758560254096
anomaly,wind_v_ms,rh950_percent,0.12100152630703237,0.0412928763631918,0.19104380001834734
anomaly,wind_v_ms,wind_speed_ms,0.10907360840662245,0.06486649273702634,0.14747403891036576
anomaly,wind_v_ms,wind_u_ms,-0.08757332837088894,-0.12480646810049133,-0.026790751601203897
anomaly,wind_v_ms,wind_v_ms,0.04775657610696161,-0.008132989797246132,0.0942283133499074
