past_feature,future_feature,lead_hour,raw_median,raw_q25,raw_q75,raw_n,partial_control_target_now_median,partial_control_target_now_q25,partial_control_target_now_q75,partial_control_target_now_n
temperature,log_precipitation,3,-0.07515177974181891,-0.10332992036411127,-0.04445153236954898,184,0.011975644388061592,-0.0025447754697992568,0.02194845487500298,184
pressure,pm,3,-0.17631909138732227,-0.2508215698970002,-0.10235662089492979,184,-0.04241692403563811,-0.06693595347338537,-0.010024274488449536,184
pressure,temperature,3,-0.5467351787008248,-0.5640114823872527,-0.5094420793696132,184,-0.07623441354459778,-0.09962191753889266,-0.06061808632388249,184
pressure,pressure,3,0.9852723491482074,0.9838212682494341,0.9861867224806098,184,,,,0
pressure,rh950,3,-0.2044323721308493,-0.2515009222383403,-0.12231231251889552,184,-0.08037902835375277,-0.11672755610163417,-0.05020862190423153,184
pressure,wind_speed,3,-0.0716982712763134,-0.13206466259995536,-0.030068888606374102,184,-0.06665996341596052,-0.08317606681833506,-0.04835308853613273,184
pressure,wind_u,3,-0.122633884969711,-0.16449358896065852,0.012009664955516756,184,-0.014300283445889255,-0.056253575304067605,0.018322588560707502,184
pressure,wind_v,3,-0.13730114410995348,-0.1613511959090858,-0.09619791840312823,184,0.13497779645918612,0.1071848376405881,0.15577754295559387,184
pressure,pbl,3,0.09598744644567656,0.052115101878442635,0.1584774725595216,184,0.040419313573527314,0.01798794298772243,0.06581473392322049,184
pressure,ventilation,3,0.023625762518636382,-0.028436238685305405,0.06531928628575842,184,-0.022043341992795118,-0.0456816078773122,-0.0046555949459232025,184
pressure,log_precipitation,3,-0.08459958021321878,-0.16597038148898308,-0.032946252287556654,184,-0.04879249781688193,-0.07904293088666947,-0.026948346277239472,184
rh950,pm,3,-0.07476558962044527,-0.18465513728651167,0.15307016714197574,184,-0.03529140227800431,-0.07272352995478226,0.023390449622931995,184
rh950,temperature,3,-0.11806124611555968,-0.18447642740769482,-0.03582421678045021,184,-0.0511451753879492,-0.09083962032762256,0.004531458807790232,184
rh950,pressure,3,-0.1730325994980047,-0.20990209242384714,-0.09059246939433649,184,0.09255108077150476,0.03943240553853131,0.13298019796293328,184
rh950,rh950,3,0.9313726610700759,0.9207144063122312,0.9466322526064189,184,,,,0
rh950,wind_speed,3,0.044243489089974206,-0.039258810181804056,0.12540585801683887,184,0.022700949988278762,-0.011370972619083788,0.04453967540963147,184
rh950,wind_u,3,-0.1475800123303102,-0.22230715074233962,-0.0892498488535226,184,0.023044485094769293,-0.009334195689774942,0.04812478189938238,184
rh950,wind_v,3,-0.21676882866852937,-0.32920532120242074,-0.08350835665885804,184,-0.11587348082540676,-0.14061800230919996,-0.07915472749254823,184
rh950,pbl,3,-0.08814712777763106,-0.2040249999911874,0.048083696641962846,184,-0.00211766734178163,-0.06284960229837505,0.04946663842328623,184
rh950,ventilation,3,-0.007907049154362255,-0.1067162933712543,0.11101466712055218,184,0.03946454881937706,-0.017145067305337994,0.07230739239240974,184
rh950,log_precipitation,3,0.28888030371017637,0.26126557137518047,0.31077720496185013,184,0.10832687421525738,0.09985308707523254,0.1182615213515285,184
wind_speed,pm,3,-0.2800458968630497,-0.3354129540249312,-0.21232446549207862,184,-0.16660196716849568,-0.19272930858310472,-0.11702500295682983,184
wind_speed,temperature,3,-0.0565505845939491,-0.11164322010558438,-0.007357057419589754,184,-0.10542521111475223,-0.13703114791587445,-0.08914159032999495,184
wind_speed,pressure,3,-0.015954230075038878,-0.06386844546158423,0.037063639758060166,184,0.15863908903827148,0.11113937237096828,0.21790247870816776,184
wind_speed,rh950,3,0.030107760061341582,-0.05123618488486738,0.1134958438013123,184,-0.028149659192698614,-0.050298168110537646,-0.010373601999798997,184
wind_speed,wind_speed,3,0.8166150966856125,0.7855479665414262,0.8424876736712936,184,,,,0
wind_speed,wind_u,3,-0.0299694412636175,-0.19822320154191447,0.15276770828440095,184,0.028091486903592755,-0.008460322118732367,0.06005838063757171,184
wind_speed,wind_v,3,-0.16177702167866898,-0.29467929741762205,-0.07425678070104262,184,-0.029886765461293978,-0.07432711178938747,-0.0032098835060811104,184
wind_speed,pbl,3,0.37089462285137187,0.31377880814188774,0.4233267335641252,184,0.1625305726318705,0.13834312873320737,0.18831767307046582,184
wind_speed,ventilation,3,0.6258289280830552,0.578794399219831,0.6818640613193596,184,0.1756944722635761,0.15145666140347439,0.1977789828602201,184
wind_speed,log_precipitation,3,0.08910798180586167,0.052535115021556236,0.12374720774245587,184,0.03133356237090408,0.017080948793103044,0.041983396224600796,184
wind_u,pm,3,0.002974015757743381,-0.0901672642443816,0.1235675090470579,184,0.0211773225525176,-0.036575283349094136,0.0942585858990965,184
wind_u,temperature,3,0.022600209263841008,-0.03756932104118196,0.12212244417514838,184,0.055100693033483104,0.0023175136959108548,0.10955793667360833,184
wind_u,pressure,3,-0.09497839563093934,-0.18699020319360465,0.039111026135664376,184,0.006552491573246031,-0.11558140253134076,0.12807264393846288,184
wind_u,rh950,3,-0.19477404557183056,-0.2795867683102457,-0.14047680378533148,184,-0.1110884242506085,-0.1598126109050414,-0.07420502981409635,184
wind_u,wind_speed,3,-0.04258203686888054,-0.2030913667177941,0.14611647555741425,184,0.0009582025845085741,-0.04465113155450292,0.05640803995920161,184
wind_u,wind_u,3,0.8866445923807551,0.8480495565786611,0.9119075688989129,184,,,,0
wind_u,wind_v,3,0.038514835201089406,-0.1775131595851766,0.20970545310281083,184,-0.11358364552146064,-0.15386158932198235,-0.04287339335105374,184
wind_u,pbl,3,0.02627722386080041,-0.04785030409661019,0.15161356712229504,184,0.01452512256729418,-0.02291209677961644,0.06179794854102005,184
wind_u,ventilation,3,0.018968320363447262,-0.10812905183623082,0.18216624195946313,184,0.00853901896509306,-0.02775496431268865,0.05925197744411356,184
wind_u,log_precipitation,3,-0.11284790564969208,-0.1384247022565384,-0.0769523916611079,184,-0.07375258864897535,-0.08726848703153886,-0.05355608251921685,184
wind_v,pm,3,0.20417389642407305,0.12458989390130595,0.2991944809423726,184,0.11169303112697174,0.062474944809075575,0.1730201738842308,184
wind_v,temperature,3,0.3533230241781704,0.255488558803349,0.3950306202385289,184,0.18835430674113635,0.14487839952770643,0.21458974707949843,184
wind_v,pressure,3,-0.27073928462177443,-0.3028207046352065,-0.23445543618610848,184,-0.3912152074889683,-0.4132575768535301,-0.35256585887470404,184
wind_v,rh950,3,-0.1573723071978287,-0.28182300180412556,0.03483356480403395,184,0.05602547445401092,0.02333731511839436,0.1463698470441965,184
wind_v,wind_speed,3,-0.12817804822006829,-0.26509355933657675,-0.04727429255296595,184,-0.01142998565910131,-0.0457636852822221,0.03195378901433593,184
wind_v,wind_u,3,0.12832947643789033,-0.10741270235928616,0.32156053756080216,184,0.1342037230479139,0.0652066541867233,0.17006585475113015,184
wind_v,wind_v,3,0.9030107385008326,0.8575154317368754,0.9177027671296176,184,,,,0
wind_v,pbl,3,-0.21732645756455643,-0.27068483204873156,-0.15148654618691404,184,-0.10294478918454934,-0.1359288024281337,-0.06669173844293433,184
wind_v,ventilation,3,-0.24806805624622724,-0.314447372597488,-0.1819231335700011,184,-0.06753012491545174,-0.09230211915202186,-0.02466787775117875,184
wind_v,log_precipitation,3,-0.10183126787118238,-0.17295834349637984,-0.05294708352291683,184,-0.010835255364143698,-0.055975658906724846,0.01293585505486406,184
pbl,pm,3,-0.25378595143565574,-0.31647926460023607,-0.17966437161311782,184,-0.13649566069083172,-0.16722188693150064,-0.09371618697335896,184
pbl,temperature,3,0.06458624887494244,-0.00806060731623378,0.13312846316860039,184,-0.12532254675609078,-0.14147137036674887,-0.09878032569313488,184
pbl,pressure,3,0.11310043672478459,0.06926384151028697,0.1760617889283465,184,0.06340835984901255,0.04191719683000712,0.09561877326220314,184
pbl,rh950,3,-0.15756331882744118,-0.2758299044287188,-0.021581297135988137,184,-0.08674984181558242,-0.11184536504492547,-0.06063309860917938,184
pbl,wind_speed,3,0.3591850055307634,0.30274768361422344,0.4113029162453785,184,0.024845912607934492,-0.0010408515110851713,0.06237857125210552,184
pbl,wind_u,3,0.008638992766318125,-0.060594472268356125,0.12414793567520821,184,-0.03329050778148633,-0.05123137220608026,0.002841506834911418,184
pbl,wind_v,3,-0.18968823191654827,-0.248390440404832,-0.13346275814316888,184,0.01970273361030692,-0.014098486547021939,0.0440218152583427,184
pbl,pbl,3,0.5908994822024722,0.5596798730639677,0.6300570670888455,184,,,,0
pbl,ventilation,3,0.5279476627156225,0.4837552346634725,0.583253893420197,184,-0.08054884028662866,-0.12385025365855457,-0.025739945298969034,184
pbl,log_precipitation,3,-0.047715038790930656,-0.06909239189706685,-0.013913710272424929,184,0.0022495250250131006,-0.008509842475932804,0.020336018824970045,184
ventilation,pm,3,-0.2982488446128791,-0.345954167882466,-0.24266016561936254,184,-0.15561613329689905,-0.18621016040299954,-0.11183066518198279,184
ventilation,temperature,3,-0.04621973367222712,-0.1076201563382579,0.019541833194765726,184,-0.12734081159309502,-0.14389910229172415,-0.1115700082941704,184
ventilation,pressure,3,0.07652213517102108,0.03206444472249087,0.11811434451944794,184,0.15181912533893083,0.12520688499731342,0.18480253391000434,184
ventilation,rh950,3,-0.06483503885050113,-0.13960248540296244,0.05596797945637347,184,-0.05626310777380211,-0.07096542810905443,-0.036514504109466994,184
ventilation,wind_speed,3,0.599185648847657,0.5571526314285986,0.6587803601540259,184,0.015024157811559937,-0.0028839763113142737,0.03673826560644866,184
ventilation,wind_u,3,0.007779214105445039,-0.11783330910914451,0.17800206728712514,184,-0.006818639348589025,-0.03405265445382721,0.01436129189027456,184
ventilation,wind_v,3,-0.2576608673227261,-0.31451819871552256,-0.19872850831684008,184,-0.01508596808673297,-0.044663726892378804,0.004594437705266324,184
ventilation,pbl,3,0.537707799746455,0.48809056527638345,0.5964992552655253,184,0.17901056633904877,0.13193817800530083,0.2251142160764682,184
ventilation,ventilation,3,0.7362142445482069,0.6971568942016755,0.787775284600088,184,,,,0
ventilation,log_precipitation,3,0.03170559937073454,-0.007970042016449193,0.06270960441655486,184,0.016363676916226075,0.002946142339631301,0.030742742329645516,184
log_precipitation,pm,3,-0.15682399553800538,-0.23340675534838545,-0.0975356652556844,184,-0.10142762021840282,-0.13543842122122113,-0.07180812575044385,184
log_precipitation,temperature,3,-0.16223361842041298,-0.19908564857141656,-0.11794690464092482,184,-0.10360973201727142,-0.13292685578974073,-0.08952446706023051,184
log_precipitation,pressure,3,-0.0668052122423397,-0.13883848503425059,0.009185570195888386,184,0.047794339512192474,0.005970570530463749,0.12168411757878768,184
log_precipitation,rh950,3,0.33441439897333947,0.29776567925982145,0.3660614199735642,184,0.08758670296218346,0.05998192961266768,0.10992514010128061,184
log_precipitation,wind_speed,3,0.10452786188996124,0.05918365421855701,0.14507039086813106,184,0.03399068099338848,0.014780524039269272,0.05125157992435305,184
log_precipitation,wind_u,3,-0.07229435911736527,-0.09904093904075806,-0.026139344722722484,184,0.027948694637177814,-0.0006968155807544531,0.062067349717760796,184
log_precipitation,wind_v,3,-0.160605750258773,-0.2081016582973705,-0.10914585575713841,184,-0.07491144308963119,-0.1020856840307502,-0.04764421995589005,184
log_precipitation,pbl,3,-0.0657806943190728,-0.10405977021325286,-0.039940809378011456,184,-0.027544230769555162,-0.04775557648446924,-0.015478925527013698,184
log_precipitation,ventilation,3,0.03570949627673345,-0.013652911730502697,0.07364916813507029,184,0.02294953250195155,0.002150246520486069,0.03920890749714428,184
log_precipitation,log_precipitation,3,0.6498645292265752,0.6052783231901683,0.6737457026820157,184,,,,0
pm,pm,24,0.40796850214333213,0.34588843394144503,0.4633303188886949,184,,,,0
pm,temperature,24,0.16723687322895753,0.1236962343713868,0.21264800200327788,184,0.03431700612592852,0.013616198386746069,0.060184211331744515,184
pm,pressure,24,-0.12964196782346643,-0.1666411651794641,-0.10536170021750017,184,-0.01924407336021456,-0.09977102702931395,0.013407806670836811,184
pm,rh950,24,0.009462794027805851,-0.10160351015448832,0.15311879156833008,184,0.03546367780661548,0.0018721047131300805,0.07838474507050022,184
pm,wind_speed,24,-0.022061106043481014,-0.05607187390574567,0.019607426332381224,184,0.026589203839576123,0.007594693841615121,0.046135963894219256,184
pm,wind_u,24,-0.0657058861471525,-0.10905101439731972,-0.02476732834407392,184,-0.07842915021000216,-0.10751705687530054,-0.032792859603755,184
pm,wind_v,24,0.02801158783160933,-0.027990703714064463,0.07091623145304052,184,-0.02280762442727976,-0.05738075541918615,0.024104488688817195,184
pm,pbl,24,-0.06461222595402091,-0.10442061058669651,-0.043378541395186695,184,4.279774778906761e-05,-0.023918587649643056,0.022308485317012853,184
pm,ventilation,24,-0.04174446767166384,-0.09190830126739014,-0.011416837004935156,184,0.006760909870876106,-0.00989287426822735,0.027483779168838395,184
pm,log_precipitation,24,0.002556967259989526,-0.029218839530726327,0.029241138219483164,184,0.01409523032414909,-0.009411542844621996,0.034427143585985975,184
temperature,pm,24,0.06295174654493907,0.021452538606285772,0.11063146927833992,184,-0.028863536567554957,-0.061530132469115636,0.009859244756690696,184
temperature,temperature,24,0.648114207823089,0.6247136199832641,0.6672953589767981,184,,,,0
temperature,pressure,24,-0.38911533349328836,-0.4410076460878704,-0.3466687679930449,184,-0.07631507879539684,-0.11096521108160644,-0.03869610198804344,184
temperature,rh950,24,0.05681099876340996,-0.002318935550286622,0.12628945740515968,184,0.13701170971685234,0.09916688918089503,0.17129122638212124,184
temperature,wind_speed,24,0.09066769830626692,0.05182885076189726,0.12078161750934138,184,0.09378214382599703,0.06614268233230482,0.13001897846469143,184
temperature,wind_u,24,-0.09730806774254591,-0.15354885214360442,-0.03850799005292027,184,-0.10782573349806808,-0.16602440483016967,-0.040658774314564675,184
temperature,wind_v,24,0.01612811591228573,-0.006018116054585087,0.058209526177833405,184,-0.0745122031781866,-0.10055625416636096,-0.023383463060321616,184
temperature,pbl,24,0.07869547887759573,0.044033222903138165,0.12139705755638905,184,0.05246613631974065,0.013988870733681174,0.06885737479505337,184
temperature,ventilation,24,0.0786840612354392,0.028363543164641635,0.11512728386832353,184,0.0889953690961435,0.03596193918178288,0.11617757257592493,184
temperature,log_precipitation,24,0.040749006439691066,0.02738734328989136,0.05596754607322467,184,0.05264860458445996,0.03979868475094674,0.06594243904601123,184
pressure,pm,24,-0.04277872527638016,-0.08763162580174337,0.016368068364612683,184,0.028159385409135894,-0.016593802119328843,0.09731977316837818,184
pressure,temperature,24,-0.3688431710157692,-0.3923770662586871,-0.32421396136357006,184,0.00030421656613151813,-0.039697798494266724,0.031353647921623005,184
pressure,pressure,24,0.6218977356204773,0.5719936767889475,0.6589655219544991,184,,,,0
pressure,rh950,24,-0.1653450767649145,-0.2668732485063708,-0.07646153413667181,184,-0.10703822377732694,-0.20097535780477624,-0.03609881051246889,184
pressure,wind_speed,24,-0.11168585578836171,-0.15875871025382216,-0.08516642386496515,184,-0.10310292010349378,-0.1608564710374062,-0.076920041341058,184
pressure,wind_u,24,0.04060276629882,-0.028852299356006667,0.12952295355284552,184,0.07935845835124716,-0.0019851323027267045,0.1701228790882323,184
pressure,wind_v,24,0.16806843037436203,0.148731602016278,0.1912298448070916,184,0.23548719402812307,0.19749977250635256,0.26563188770742135,184
pressure,pbl,24,-0.022897295043494612,-0.048485962417018,-0.007953647393870507,184,-0.07685038481562954,-0.09853251292201672,-0.05039908431009726,184
pressure,ventilation,24,-0.08150937287036453,-0.1050242431373718,-0.06457728738838292,184,-0.10054362402927666,-0.12508183415692833,-0.07869776202168685,184
pressure,log_precipitation,24,-0.06715421291888199,-0.10518145241304512,-0.015653825805255574,184,-0.052524823097233886,-0.10154250166100755,-0.012489271878257607,184
rh950,pm,24,-0.11046373729951622,-0.18705980027949545,0.019482706688038885,184,-0.09609644725815564,-0.13876480360036458,-0.050967362179475166,184
rh950,temperature,24,-0.14593411069763665,-0.1944151645689678,-0.08564135885132754,184,-0.10089257425522698,-0.16350430761808235,-0.03288178209047708,184
rh950,pressure,24,-0.017566337980155687,-0.04982885670963879,0.0244275029623041,184,0.1147420454477853,0.08527091111234417,0.15155645125840966,184
rh950,rh950,24,0.51097193877475,0.446577186154159,0.5601715145728032,184,,,,0
rh950,wind_speed,24,0.02826410361324675,-0.025350470598200312,0.06511989150528408,184,0.017232292219800445,-0.01140215033873131,0.046602621633555906,184
rh950,wind_u,24,-0.03918789531592601,-0.10461914530984104,0.008120991970605779,184,0.018134464648266832,-0.04211796516935644,0.05767749246520083,184
rh950,wind_v,24,-0.23284863428760644,-0.3101345087860775,-0.10936852990272068,184,-0.193860892811606,-0.24415490328231151,-0.11137051860924034,184
rh950,pbl,24,-0.0008346950220536971,-0.08837797887182,0.08771801245382259,184,0.05356399571493281,0.011877554697695651,0.0856932631887988,184
rh950,ventilation,24,0.02986848704671356,-0.024248837567428246,0.10428875309498936,184,0.05098268697810854,0.008202915272499035,0.08351220098531378,184
rh950,log_precipitation,24,0.11867569545518414,0.09305168402597878,0.13673488961085326,184,0.08965822630788137,0.07304071437778231,0.10858669413211097,184
wind_speed,pm,24,-0.23247311447280683,-0.27853499032147816,-0.1822824501994218,184,-0.15320795554482872,-0.18475438445017178,-0.12374700932133331,184
wind_speed,temperature,24,-0.12727378818368462,-0.17806096752032036,-0.08726785366254779,184,-0.15156065345002706,-0.18447150299207948,-0.12264465602570847,184
wind_speed,pressure,24,0.042931145012614996,0.006528104631789405,0.10514595897147518,184,0.08696895903207943,0.05904011745968981,0.14789650794831172,184
wind_speed,rh950,24,-0.008521141789251029,-0.0704922575505716,0.0749759335715498,184,-0.030564526052105835,-0.06682390268700222,0.03276499896407216,184
wind_speed,wind_speed,24,0.20483300737455054,0.14344709353323415,0.27197234578506047,184,,,,0
wind_speed,wind_u,24,0.013411578135462636,-0.032949513378786696,0.06248701709470586,184,0.02795228712701781,-0.0011442794430174118,0.06220667345288229,184
wind_speed,wind_v,24,-0.07994123056772572,-0.11500058625269344,-0.038267642544002355,184,-0.04079637147430279,-0.06845012154972727,-0.005164789218822028,184
wind_speed,pbl,24,0.11494769010692416,0.08044743323823599,0.18940402521763589,184,-0.013922409882919996,-0.046315683707190865,0.0173936721777362,184
wind_speed,ventilation,24,0.17592892195631074,0.12279525565030544,0.2708264076933097,184,0.013587465690808351,-0.02108046554498035,0.0386412573022277,184
wind_speed,log_precipitation,24,0.03452867198821319,0.004224351540993704,0.063737053560437,184,0.02572170098066192,-0.0021613264003633712,0.049466543766424356,184
wind_u,pm,24,0.04234524531266769,-0.08417881971900351,0.13957227553514917,184,0.04315512723594247,-0.04057293773126456,0.1224742337313332,184
wind_u,temperature,24,0.06799089322038293,-0.030119183013109542,0.16192681708480447,184,0.0740560853520579,0.0025156320893143127,0.14745514957534178,184
wind_u,pressure,24,-0.02731832650014667,-0.1493149973318853,0.07070428110057632,184,-0.0013249877021813826,-0.08076124549112737,0.10191601021114666,184
wind_u,rh950,24,-0.3045037502834357,-0.3855092867586302,-0.22267074321461391,184,-0.2670063293166341,-0.3344330383400268,-0.1785758421630903,184
wind_u,wind_speed,24,-0.03979062469337893,-0.1320618009761343,0.06657137008879163,184,-0.029485558376567376,-0.08575929744303529,0.052892037767111856,184
wind_u,wind_u,24,0.2879684440869746,0.2218546616016042,0.3295225474365333,184,,,,0
wind_u,wind_v,24,0.09900005920459687,-0.007043163930819203,0.16474711863007208,184,0.07272713525099797,0.013625277612563701,0.12272077126778967,184
wind_u,pbl,24,0.004519792575160016,-0.05019774266524708,0.04178684992399649,184,-0.00975340429745081,-0.03836155522307506,0.01609810801702717,184
wind_u,ventilation,24,-0.01610062654458966,-0.09743310322211678,0.04825275808919567,184,-0.01939609502110276,-0.06328769283882496,0.030127604931003964,184
wind_u,log_precipitation,24,-0.1157635584394727,-0.14167437612727257,-0.08614048759099793,184,-0.11001367348852734,-0.1337628296346675,-0.08051848597767819,184
wind_v,pm,24,0.18444483576512782,0.12666542288970403,0.26269839389101524,184,0.1331666399197233,0.08307086168140022,0.1904824796233649,184
wind_v,temperature,24,0.3529208250116964,0.27385729138201953,0.4094368151097387,184,0.21649993953871713,0.1631673878553302,0.2672641105349046,184
wind_v,pressure,24,-0.3284530210079676,-0.3557758997103133,-0.281512217560589,184,-0.2537170092128296,-0.29503649559949036,-0.21978759461547345,184
wind_v,rh950,24,0.0014765142949110023,-0.07398470064983743,0.18575119942226626,184,0.18602347317462664,0.10215315390221752,0.22105068636428896,184
wind_v,wind_speed,24,0.029681992634780444,-0.030439791378882787,0.08615628532586439,184,0.06851019910919681,0.03186183532417528,0.10769269213983505,184
wind_v,wind_u,24,0.003216340829689435,-0.08516104916751256,0.06080553026129263,184,-0.025339728950074192,-0.08132936620292162,0.06465435842604299,184
wind_v,wind_v,24,0.2081421774991733,0.15486938911448717,0.28869537287839314,184,,,,0
wind_v,pbl,24,-0.10863357554937127,-0.17312287885740374,-0.04779536411467803,184,-0.033129525351695555,-0.08166347890106454,0.002249364452634993,184
wind_v,ventilation,24,-0.06172809818070877,-0.11135965435114539,-0.006254675595768243,184,0.010133673346965156,-0.02368631500684873,0.04557269449540676,184
wind_v,log_precipitation,24,0.024464293501051837,-0.023540835721972495,0.050480245988664504,184,0.03879001410479023,-0.004919861183468962,0.06001124783039963,184
pbl,pm,24,-0.17245389554441481,-0.2098121076309642,-0.1028857049716516,184,-0.09137029689504819,-0.12098017776833693,-0.036496141872732535,184
pbl,temperature,24,-0.024311196723471117,-0.08112021377332514,0.031415631856466335,184,-0.13259531932116247,-0.15171247972688856,-0.11561671004413782,184
pbl,pressure,24,0.11874548905343833,0.08402647150855642,0.17141143660096392,184,0.07109302985858934,0.05182988473744404,0.09924273255195207,184
pbl,rh950,24,-0.12863414876238083,-0.1723514739148712,-0.06478190655564764,184,-0.06528104053577233,-0.0983871314605124,-0.044965900173503756,184
pbl,wind_speed,24,0.06883613218094005,0.042661461826889464,0.09468598127687396,184,-0.027279513331779033,-0.03949095391378166,-0.002259113238710629,184
pbl,wind_u,24,0.0413268267548681,0.0032518125109463687,0.08380111640829482,184,0.03712104027764901,0.008763052887718541,0.059129428406021735,184
pbl,wind_v,24,-0.02478141929009001,-0.0513114426789778,0.015130490822667134,184,0.031949617337181074,0.016504407998166097,0.05488460690197667,184
pbl,pbl,24,0.3583436806676159,0.31281831312607067,0.3879256430787553,184,,,,0
pbl,ventilation,24,0.227614526047355,0.18792532035378734,0.2531447417645386,184,0.04016582146358889,0.012339401555313975,0.07099301331953267,184
pbl,log_precipitation,24,-0.025065427160138796,-0.044616304853705935,-0.01253446152750062,184,-0.020198816500330105,-0.0352033824424697,-0.007240392913995676,184
ventilation,pm,24,-0.2274926649155729,-0.2576338862634795,-0.1824087370918222,184,-0.13509238652672345,-0.1706018026792791,-0.09587874405050972,184
ventilation,temperature,24,-0.12315546886795949,-0.17002421817609517,-0.07212838402547057,184,-0.15609571536456024,-0.18425349257052215,-0.12741988477077243,184
ventilation,pressure,24,0.1168296255353181,0.06846625985146162,0.15608256488386632,184,0.09507070367331534,0.07361221509064884,0.13639589423758752,184
ventilation,rh950,24,-0.07214999110821553,-0.12419615027921577,-0.014665313212000364,184,-0.06208834021927377,-0.09874184098363314,-0.03163329232392478,184
ventilation,wind_speed,24,0.14083710831529678,0.10418260803437085,0.20851259091363122,184,-0.011026325199396395,-0.027335125945695482,0.01307520989203619,184
ventilation,wind_u,24,0.04604826308125756,0.004080771410298703,0.1025975135688683,184,0.043198540002210545,0.016313499494431356,0.07236484164529348,184
ventilation,wind_v,24,-0.06778436847173659,-0.0990663068186416,-0.030749486309523018,184,-0.004796321868294406,-0.026332306235568315,0.02620169858852639,184
ventilation,pbl,24,0.237503274577475,0.19834338267040905,0.3026224021621664,184,-0.022569886118748533,-0.05838236549660864,0.01884670230469046,184
ventilation,ventilation,24,0.24436626088539526,0.1851695603675339,0.31826299295110805,184,,,,0
ventilation,log_precipitation,24,-0.0005114597390666438,-0.014043257324398458,0.023535345392774614,184,-0.002007117468867964,-0.016701551541177875,0.018582030543163354,184
log_precipitation,pm,24,-0.1212467928799337,-0.1868779026475445,-0.07398682120721828,184,-0.08142653289396597,-0.12079544725095347,-0.04993350519976302,184
log_precipitation,temperature,24,-0.13735419069561297,-0.1742674946204719,-0.09307479921482897,184,-0.06212712544002681,-0.09189238158907548,-0.04104517470336,184
log_precipitation,pressure,24,0.0005426482889963481,-0.029774739122385166,0.046223641611886176,184,0.07726840748182096,0.028686937589011065,0.12334331278585331,184
log_precipitation,rh950,24,0.1655403230964684,0.12841362301727588,0.21937907965408185,184,0.007340763032853113,-0.018912827704903032,0.03868774865963718,184
log_precipitation,wind_speed,24,0.020391135072950727,-0.0033511309930244738,0.04556738736375676,184,0.001324659905076103,-0.022830740567611023,0.01846070244781819,184
log_precipitation,wind_u,24,0.03786788638014985,-0.00010205493596966415,0.062050760432142624,184,0.05580384594866938,0.020147311299263473,0.09263165579297007,184
log_precipitation,wind_v,24,-0.11979325770455712,-0.15006477396056697,-0.09165970058008442,184,-0.09328739743219733,-0.11294815354007583,-0.06664507162194096,184
